=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.24 20:51:28 =~=~=~=~=~=~=~=~=~=~=~=
2168322 31.67 98112.73 41.11 2751763.50 2
2172571 31.54 98103.07 41.25 1922553.38 3
2173070 31.76 98099.05 41.30 215442.88 4
2173820 31.88 98103.12 41.34 205333.88 5
2174570 31.93 98102.13 41.32 198180.77 6
2175320 32.01 98098.12 41.33 44198.89 7
2176069 32.10 98099.52 41.30 46259.49 8
21762198811 32.13 98102.58 41.25 50453.29 0
2199061 32.04 98099.48 41.22 1707378.13 1
2200560 31.61 98095.48 41.12 2727030.75 2
2204809 31.48 98095.24 41.26 1922553.38 3
2205558 31.71 98094.19 41.33 215851.61 4
2206058 31.84 98092.64 41.34 204472.84 5
2206808 31.88 98090.17 41.35 198180.77 6
2207558 31.97 98087.60 41.35 44016.51 7
2208307 32.05 98089.27 41.31 45960.50 8
2209057 32.10 98090.48 41.32 48808.39 9
2209557 32.13 98090.52 41.28 50274.94 0
2210057 32.06 98090.62 41.22 1723543.00 1
2211306 31.61 98088.37 41.12 2751763.50 2
2215554 31.49 98087.61 41.27 1922553.38 3
2216304 31.71 98086.34 41.31 214765.09 4
2216804 31.85 98085.61 41.34 205829.14 5
2217553 31.89 98087.30 41.30 198295.89 6
2218303 31.97 98085.90 41.29 44107.51 7
2219053 32.06 98086.28 41.31 46309.70 8
2219802 32.11 98086.55 41.29 48808.39 9
2220302 32.13 98085.54 41.22 50068.45 0
2220802 32.05 98085.54 41.23 1720285.63 1
2222051 31.61 98082.73 41.10 2765698.75 2
2226300 31.49 98084.91 41.22 1919850.00 3
2227049 31.71 98085.11 41.29 215171.25 4
2227799 31.85 98086.66 41.32 206701.66 5
2228299 31.89 98089.30 41.31 198642.09 6
2229048 31.98 98090.38 41.30 43790.63 7
2229798 32.05 98090.43 41.25 46410.44 8
2230548 32.11 98092.19 41.23 48976.47 9
2231298 32.13 98089.93 41.18 50186.24 0
2231548 32.05 98087.86 41.17 1703118.50 1
