=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.24 22:22:17 =~=~=~=~=~=~=~=~=~=~=~=
7392289 31.13 98097.57 38.44 227202.13 4
7393039 31.26 98096.30 38.44 216536.27 5
7393789 31.32 98099.23 38.45 209364.14 6
7394289 31.39 98098.28 38.46 42953.02 7
7395038 31.47 98097.16 38.41 44661.55 8
7395788 31.52 98097.05 38.43 45911.05 9
7396538 31.54 98096.46 38.39 48174.63 0
73967887643193 37.05 97844.80 39.92 252403.25 8
7643943 37.08 97845.23 39.95 266389.19 9
7644692 37.11 97846.09 39.98 275639.31 0
7644942 37.02 97847.70 39.94 33938892.00 1
7646192 36.55 97852.71 40.01 28605848.00 2
7650440 36.38 97858.54 40.47 20838156.00 3
7651190 36.62 97860.48 40.61 1522676.63 4
7651939 36.74 97859.63 40.63 1459729.13 5
7652689 36.79 97860.32 40.72 1417301.00 6
7653189 36.86 97859.02 40.71 243403.84 7
7653939 36.95 97862.38 40.76 260096.52 8
7654688 36.99 97864.99 40.73 274751.81 9
7655438 37.01 97865.48 40.75 283185.84 0
7655688 36.93 97866.35 40.71 35949532.00 1
7656938 36.46 97873.16 40.72 30083084.00 2
7661186 36.30 97881.78 41.21 21643328.00 3
7661935 36.53 97880.53 41.35 1586367.13 4
7662685 36.65 97882.60 41.38 1544203.63 5
7663435 36.69 97884.07 41.40 1483520.50 6
7663935 36.77 97884.80 41.46 249817.03 7
7664684 36.86 97884.80 41.47 269757.63 8
7665434 36.90 97883.27 41.50 281550.72 9
7666184 36.91 97885.16 41.51 292404.34 0
7666434 36.83 97888.14 41.48 38013920.00 1
7667933 36.37 97886.99 41.52 31790444.00 2
7671932 36.21 97894.70 42.01 23108604.00 3
7672681 36.44 97893.55 42.12 1659643.38 4
7673431 36.56 97892.70 42.23 1601251.00 5
7674181 36.61 97892.58 42.23 1552985.75 6
7674930 36.68 97891.77 42.21 256963.61 7
7675430 36.77 97894.95 42.28 280164.16 8
7676180 36.81 97896.57 42.24 290909.09 9
7676930 36.82 97897.45 42.21 302511.09 0
7677180 36.74 97897.48 42.21 40255528.00 1
7678679 36.28 97897.52 42.23 33677288.00 2
7682927 36.11 97902.31 42.65 24947088.00 3
7683427 36.34 97903.47 42.78 1721370.00 4
7684177 36.48 97905.29 42.82 1680065.63 5
7684927 36.52 97906.53 42.83 1622178.25 6
7685676 36.60 97907.87 42.85 269119.59 7
7686426 36.68 97907.22 42.85 287237.03 8
7686926 36.71 97908.89 42.84 301975.81 9
7687675 36.74 97910.38 42.81 311340.84 0
7687925 36.66 97910.49 42.79 42652784.00 1
7689425 36.19 97911.59 42.77 35802240.00 2
7693673 36.03 97913.49 43.18 26473844.00 3
7694423 36.25 97915.59 43.31 1784360.75 4
7694923 36.39 97918.43 43.30 1756808.88 5
7695672 36.43 97919.40 43.34 1697823.88 6
7696422 36.52 97918.07 43.33 277431.59 7
7697172 36.60 97915.98 43.36 298542.28 8
7697922 36.63 97915.24 43.33 307138.56 9
7698422 36.65 97917.59 43.29 316537.88 0
7698672 36.57 97920.34 43.28 45306604.00 1
7700171 36.11 97923.04 43.22 37556448.00 2
7704419 35.95 97925.45 43.65 28181466.00 3
7705169 36.17 97925.97 43.73 1877607.13 4
7705669 36.30 97927.29 43.80 1834714.50 5
7706418 36.35 97930.16 43.80 1773928.13 6
7707168 36.43 97929.38 43.80 284602.56 7
7707918 36.51 97930.26 43.80 304671.22 8
7708668 36.55 97929.45 43.80 318606.09 9
7709417 36.56 97927.70 43.75 325285.91 0
7709667 36.48 97930.20 43.74 47012912.00 1
7710917 36.02 97932.22 43.70 39420152.00 2
7715165 35.86 97936.34 44.08 29218012.00 3
7715915 36.09 97932.84 44.17 1951405.38 4
7716664 36.22 97935.20 44.19 1891916.88 5
7717164 36.26 97937.44 44.22 1850881.13 6
7717914 36.34 97938.44 44.23 291654.81 7
7718664 36.43 97940.66 44.19 313917.84 8
7719413 36.46 97941.52 44.19 327470.41 9
7720163 36.48 97942.73 44.14 336178.59 0
7720413 36.41 97943.84 44.12 51572692.00 1
7721663 35.94 97944.91 44.05 41243548.00 2
7725911 35.78 97949.11 44.42 31222486.00 3
7726660 36.00 97948.64 44.51 2048000.00 4
7727410 36.13 97948.98 44.55 1998536.25 5
7728160 36.18 97949.60 44.55 1945843.25 6
7728660 36.25 97952.66 44.55 304943.41 7
7729410 36.34 97954.33 44.56 321305.31 8
7730159 36.38 97953.78 44.53 334531.19 9
7730909 36.40 97954.23 44.50 347826.09 0
7731159 36.32 97954.69 44.47 53961300.00 1
7732658 35.86 97952.72 44.41 43415700.00 2
7736657 35.70 97957.45 44.79 32669990.00 3
7737406 35.92 97956.59 44.84 2136114.75 4
7738156 36.05 97959.52 44.89 2055708.88 5
7738906 36.10 97960.84 44.90 2004404.25 6
7739655 36.18 97961.16 44.90 309085.41 7
7740155 36.26 97961.26 44.88 330003.22 8
7740905 36.30 97961.92 44.87 344665.09 9
7741655 36.32 97963.20 44.83 359172.22 0
7741905 36.24 97966.54 44.82 57399604.00 1
7743404 35.78 97964.10 44.76 46217208.00 2
7747402 35.62 97970.30 45.13 34748676.00 3
7748152 35.85 97970.08 45.19 2217650.25 4
7748902 35.98 97971.07 45.25 2170066.25 5
7749651 36.02 97972.10 45.23 2093534.38 6
7750401 36.09 97969.80 45.20 321003.13 7
7750901 36.18 97970.77 45.16 340199.34 8
7751651 36.22 97971.16 45.17 354325.25 9
7752401 36.24 97971.84 45.13 364932.28 0
7752651 36.16 97973.74 45.09 60751796.00 1
7754150 35.71 97972.71 45.06 49979792.00 2
7758398 35.54 97971.57 45.38 36766340.00 3
7758898 35.77 97973.24 45.45 2297896.25 4
7759648 35.90 97974.56 45.52 2230329.50 5
7760398 35.95 97975.70 45.44 2182205.75 6
7761147 36.03 97975.84 45.47 326843.28 7
7761897 36.11 97978.03 45.48 352860.09 8
7762397 36.15 97977.51 45.46 364932.28 9
7763146 36.17 97978.80 45.43 385179.63 0
7763396 36.09 97979.27 45.37 62894432.00 1
7764896 35.63 97979.85 45.30 52376424.00 2
7769144 35.47 97980.53 45.64 38652904.00 3
7769894 35.70 97981.44 45.75 2409411.75 4
7770394 35.83 97982.72 45.71 2323312.50 5
7771143 35.87 97983.48 45.75 2288268.25 6
7771893 35.95 97983.30 45.74 337842.28 7
7772643 36.03 97985.96 45.73 358041.97 8
7773393 36.07 97985.48 45.67 379399.78 9
7773892 36.09 97986.45 45.61 392713.31 0
7774142 36.00 97985.98 45.61 66081168.00 1
7775642 35.55 97985.20 45.52 54533804.00 2
7779890 35.39 97986.98 45.85 40479308.00 3
7780640 35.62 97988.08 45.92 2483929.75 4
