=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.25 13:12:55 =~=~=~=~=~=~=~=~=~=~=~=
2420 27.10 99132.34 48.59 5295410.50 1
3919 27.34 99136.17 48.40 5008866.00 2
7918 27.55 99139.85 52.35 3933733.50 3
8667 27.71 99139.80 52.91 455921.63 4
9417 27.91 99137.55 53.34 455921.63 5
10167 28.01 99140.66 53.66 455313.47 6
10917 28.01 99137.05 53.67 121269.54 7
11416 28.17 9912743903 29.02 99130.18 48.17 161718.25 8
44403 29.07 99133.35 48.31 161412.36 9
45153 29.11 99135.10 48.29 161565.16 0
45403 29.04 99137.09 48.29 8841878.00 1
46902 28.66 99143.41 48.34 7049914.00 2
51150 28.59 99141.27 48.76 4764175.50 3
51650 28.81 99138.59 48.88 600762.69 4
52400 28.94 99137.21 48.92 583808.44 5
53150 29.00 99139.27 48.98 565902.19 6
53900 29.09 99138.17 49.03 132368.16 7
54649 29.18 99139.38 49.09 138828.64 8
55149 29.23 99137.65 49.10 143982.00 9
55899 29.27 99138.20 49.11 145578.63 0
56149 29.20 99139.13 49.12 7255978.50 1
57648 28.80 99144.26 49.15 5680998.50 2
61896 28.73 99148.16 49.60 3855966.00 3
62396 28.95 99146.55 49.71 507056.19 4
63146 29.08 99147.95 49.80 495284.16 5
63895 29.13 99146.42 49.85 476944.56 6
64645 29.21 99147.29 49.90 114901.26 7
65395 29.30 99147.44 50.02 118244.80 8
65895 29.35 99147.71 50.04 120498.94 9
66644 29.38 99148.28 50.08 121962.84 0
66895 29.31 99148.47 50.06 5018070.50 1
68394 28.91 99146.84 50.03 4017655.75 2
72642 28.83 99143.88 50.41 2727030.75 3
73392 29.04 99144.89 50.50 395672.34 4
73892 29.18 99146.77 50.54 390243.91 5
74641 29.23 99148.88 50.59 378138.84 6
75391 29.30 99150.32 50.59 98518.38 7
76141 29.39 99150.15 50.67 103225.80 8
76891 29.45 99149.98 50.68 105588.78 9
77391 29.47 99151.72 50.68 107653.49 0
77641 29.40 99153.02 50.70 4029513.00 1
79140 29.00 99150.83 50.64 3198750.50 2
83388 28.91 99145.25 50.90 2198014.50 3
84138 29.13 99143.03 51.02 329366.34 4
84638 29.25 99144.73 51.05 322519.69 5
85387 29.30 99144.71 51.05 316537.88 6
86137 29.38 99146.13 51.10 87312.41 7
86887 29.47 99147.98 51.07 94273.62 8
87637 29.52 99148.16 51.07 97006.45 9
88136 29.54 99147.89 51.12 98918.09 0
88636 29.48 99147.23 51.09 3471186.50 1
89886 29.07 99146.58 51.07 2705416.00 2
94134 28.97 99147.86 51.30 1906446.38 3
94884 29.19 99147.44 51.39 294422.09 4
95384 29.32 99145.22 51.45 290414.06 5
96133 29.36 99147.41 51.47 284602.56 6
96883 29.44 99152.96 51.51 80100.13 7
97633 29.53 99152.77 51.50 85647.38 8
98382 29.57 99154.19 51.48 88397.79 9
98882 29.61 99156.26 51.55 91135.63 0
99382 29.54 99156.13 51.53 3079699.25 1
100632 29.13 99156.40 51.48 2405167.25 2
104880 29.02 99157.89 51.72 1696768.88 3
105629 29.24 99158.68 51.77 268484.53 4
106379 29.37 99162.08 51.84 265353.72 5
106879 29.41 99160.42 51.80 260493.52 6
107629 29.49 99161.42 51.86 75762.06 7
108378 29.57 99160.46 51.89 80629.92 8
109128 29.62 99161.35 51.90 83632.80 9
