=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.12.06 01:27:45 =~=~=~=~=~=~=~=~=~=~=~=
186849 28.80 100332.53 25.37 102400000.00 2
186849 28.80 100332.53 25.37 102400000.00 2
190848 28.70 100338.37 25.41 102400000.00 3
191597 28.93 100339.44 25.44 23531778.00 4
192347 29.08 100339.54 25.61 22890674.00 5
193847 29.28 100342.66 25.55 1532934.13 7
194346 29.40 100340.35 25.53 1631872.50 8
195846 29.52 100341.37 25.37 1794916.75 0
196096 29.45 100341.98 25.35 102400000.00 1
197595 29.04 100340.91 25.26 102400000.00 2
197595 29.04 100340.91 25.26 102400000.00 2
197595 29.04 100340.91 25.26 102400000.00 2
197595 29.04 100340.91 25.26 102400000.00 2
201593 28.99 100336.86 25.49 102400000.00 3
202343 29.25 100340.13 25.52 21452046.00 4
203843 29.48 100337.35 25.58 15757634.00 6
204593 29.58 100335.37 25.61 1246500.25 7
205842 29.78 100340.25 25.59 1411440.38 9
206842 29.76 100338.34 25.50 102400000.00 1
206842 29.76 100338.34 25.50 102400000.00 1
208341 29.41 100338.10 25.45 102400000.00 2
208341 29.41 100338.10 25.45 102400000.00 2
208341 29.41 100338.10 25.45 102400000.00 2
208341 29.41 100338.10 25.45 102400000.00 2
212340 29.50 100343.94 34.52 102400000.00 3
213839 29.93 100346.59 37.64 13515364.00 5
214589 30.01 100349.20 38.28 12916043.00 6
215838 30.22 100347.62 38.11 1182789.50 8
216588 30.29 100348.27 37.98 1254517.63 9
217588 30.27 100347.82 37.41 102400000.00 1
217588 30.27 100347.82 37.41 102400000.00 1
219087 29.90 100345.15 36.43 102400000.00 2
219087 29.90 100345.15 36.43 102400000.00 2
219087 29.90 100345.15 36.43 102400000.00 2
219087 29.90 100345.15 36.43 102400000.00 2
223835 30.25 100350.39 33.71 636617.94 4
224585 30.41 100352.51 33.30 547300.94 5
225335 30.49 100352.55 32.84 497812.34 6
226834 30.72 100354.00 31.93 246035.56 8
227334 30.79 100361.94 32.28 268695.88 9
228334 30.73 100354.75 34.25 55965840.00 1
229833 30.49 100354.08 35.71 32916122.00 2
229833 30.49 100354.08 35.71 32916122.00 2
229833 30.49 100354.08 35.71 32916122.00 2
229833 30.49 100354.08 35.71 32916122.00 2
229833 30.49 100354.08 35.71 32916122.00 2
234581 30.79 100357.77 33.51 979904.31 4
235331 30.92 100359.44 32.85 949907.25 5
236830 31.07 100361.84 31.64 237476.81 7
237580 31.15 100361.47 31.19 321911.34 8
238829 31.23 100357.11 30.40 453800.13 0
239079 31.14 100356.06 30.22 102400000.00 1
240579 30.75 100358.39 29.83 81033696.00 2
240579 30.75 100358.39 29.83 81033696.00 2
240579 30.75 100358.39 29.83 81033696.00 2
240579 30.75 100358.39 29.83 81033696.00 2
244827 30.69 100359.92 32.64 39888008.00 3
245577 30.91 100358.84 33.22 1880192.75 4
246826 31.11 100361.55 34.41 1684210.50 6
247576 31.19 100352.09 34.93 303857.56 7
248325 31.30 100355.38 35.08 383448.78 8
249825 31.33 100361.36 35.58 102400000.00 1
249825 31.33 100361.36 35.58 102400000.00 1
251324 31.48 100370.90 40.53 87614976.00 2
251324 31.48 100370.90 40.53 87614976.00 2
251324 31.48 100370.90 40.53 87614976.00 2
251324 31.48 100370.90 40.53 87614976.00 2
255572 31.38 100360.97 57.20 45026452.00 3
256822 31.71 100362.61 59.19 2091930.50 5
257572 31.76 100363.10 59.63 2005876.63 6
258321 31.84 100364.29 59.90 319202.00 7
259821 31.93 100358.66 59.81 317126.03 9
260821 31.78 100363.55 59.18 45400764.00 1
260821 31.78 100363.55 59.18 45400764.00 1
262070 31.41 100363.77 57.95 35453612.00 2
262070 31.41 100363.77 57.95 35453612.00 2
262070 31.41 100363.77 57.95 35453612.00 2
262070 31.41 100363.77 57.95 35453612.00 2
266318 31.33 100364.26 49.62 24160738.00 3
267818 31.67 100363.12 46.38 1388474.63 5
268317 31.72 100363.68 44.80 1362155.00 6
269817 31.90 100366.08 41.80 382160.84 8
270567 31.95 100364.94 40.64 463663.13 9
271566 31.89 100364.43 39.27 102400000.00 1
272816 31.46 100365.70 37.74 102400000.00 2
272816 31.46 100365.70 37.74 102400000.00 2
272816 31.46 100365.70 37.74 102400000.00 2
272816 31.46 100365.70 37.74 102400000.00 2
272816 31.46 100365.70 37.74 102400000.00 2
277814 31.57 100369.96 34.71 3372581.25 4
278563 31.70 100371.05 34.35 3208145.75 5
279813 31.82 100372.14 33.66 432797.97 7
280563 31.91 100371.96 33.35 514314.41 8
281312 31.95 100368.63 32.99 583309.63 9
282312 31.89 100368.95 32.57 102400000.00 1
283561 31.45 100365.90 31.96 102400000.00 2
283561 31.45 100365.90 31.96 102400000.00 2
283561 31.45 100365.90 31.96 102400000.00 2
283561 31.45 100365.90 31.96 102400000.00 2
287810 31.32 100364.76 30.79 100515336.00 3
288559 31.54 100365.12 30.66 4299134.00 4
289309 31.66 100366.16 30.46 4096000.00 5
290559 31.79 100367.20 30.12 497812.34 7
291308 31.86 100365.23 29.95 586819.50 8
292808 31.92 100363.38 29.55 714584.81 0
293058 31.84 100363.64 29.53 102400000.00 1
294307 31.39 100361.32 29.15 102400000.00 2
294307 31.39 100361.32 29.15 102400000.00 2
294307 31.39 100361.32 29.15 102400000.00 2
294307 31.39 100361.32 29.15 102400000.00 2
298555 31.24 100361.90 28.65 102400000.00 3
299305 31.46 100361.95 28.59 4931968.50 4
300805 31.63 100363.16 28.38 4530973.50 6
301304 31.70 100363.43 28.24 549946.31 7
302804 31.82 100366.09 28.12 707182.31 9
303554 31.84 100366.31 27.92 772101.81 0
303804 31.75 100365.25 27.87 102400000.00 1
305303 31.31 100363.61 27.57 102400000.00 2
305303 31.31 100363.61 27.57 102400000.00 2
305303 31.31 100363.61 27.57 102400000.00 2
305303 31.31 100363.61 27.57 102400000.00 2
309301 31.15 100368.20 27.10 102400000.00 3
310051 31.38 100368.73 27.10 5548256.00 4
311551 31.53 100368.78 26.98 5050555.00 6
312300 31.60 100366.97 26.93 590371.88 7
313550 31.71 100364.67 26.84 751697.56 9
314550 31.65 100360.48 26.65 102400000.00 1
314550 31.65 100360.48 26.65 102400000.00 1
316049 31.20 100356.84 26.46 102400000.00 2
316049 31.20 100356.84 26.46 102400000.00 2
316049 31.20 100356.84 26.46 102400000.00 2
316049 31.20 100356.84 26.46 102400000.00 2
320047 31.03 100364.38 26.28 102400000.00 3
321547 31.38 100365.81 26.27 5807869.50 5
322296 31.42 100365.55 26.23 5576582.50 6
323546 31.55 100362.34 26.10 718344.44 8
324296 31.59 100363.99 26.05 788147.00 9
325295 31.52 100363.38 25.97 102400000.00 1
325295 31.52 100363.38 25.97 102400000.00 1
326795 31.07 100364.13 25.81 102400000.00 2
326795 31.07 100364.13 25.81 102400000.00 2
326795 31.07 100364.13 25.81 102400000.00 2
326795 31.07 100364.13 25.81 102400000.00 2
331543 31.12 100365.53 25.64 6535301.00 4
332293 31.23 100364.59 25.66 6323427.00 5
333042 31.27 100365.73 25.60 6142080.50 6
334542 31.42 100361.89 25.57 755859.00 8
335042 31.45 100362.36 25.54 834385.81 9
336042 31.38 100362.25 25.38 102400000.00 1
337541 30.92 100361.60 25.25 102400000.00 2
337541 30.92 100361.60 25.25 102400000.00 2
337541 30.92 100361.60 25.25 102400000.00 2
337541 30.92 100361.60 25.25 102400000.00 2
337541 30.92 100361.60 25.25 102400000.00 2
342539 30.96 100362.80 25.28 7118835.50 4
343039 31.08 100364.91 25.30 6787075.50 5
344538 31.18 100365.41 25.28 683122.06 7
345288 31.26 100366.45 25.30 778707.25 8
346538 31.31 100363.73 25.29 929852.44 0
346788 31.23 100364.95 25.20 102400000.00 1
348287 30.77 100355.17 25.11 102400000.00 2
348287 30.77 100355.17 25.11 102400000.00 2
348287 30.77 100355.17 25.11 102400000.00 2
348287 30.77 100355.17 25.11 102400000.00 2
352535 30.71 100355.02 26.29 16697070.00 3
353285 30.95 100355.70 27.14 663857.38 4
354534 31.09 100357.25 28.98 458987.00 6
355284 31.18 100353.21 30.22 145702.91 7
356034 31.31 100356.04 31.36 168089.30 8
357284 31.40 100357.45 32.44 176612.63 0
357783 31.33 100358.27 32.51 24932852.00 1
359033 30.92 100357.28 32.39 16141872.00 2
359033 30.92 100357.28 32.39 16141872.00 2
359033 30.92 100357.28 32.39 16141872.00 2
359033 30.92 100357.28 32.39 16141872.00 2
363281 30.76 100367.95 34.30 8342159.00 3
364530 31.13 100371.80 36.91 593967.50 5
365280 31.16 100372.66 37.38 591394.75 6
366030 31.23 100370.77 37.54 172681.28 7
367529 31.34 100367.95 36.94 316537.88 9
368529 31.29 100372.01 36.22 79197584.00 1
368529 31.29 100372.01 36.22 79197584.00 1
369779 30.85 100365.43 35.26 58514284.00 2
369779 30.85 100365.43 35.26 58514284.00 2
369779 30.85 100365.43 35.26 58514284.00 2
