=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.12.06 00:44:19 =~=~=~=~=~=~=~=~=~=~=~=
884331 28.94 100280.59 27.46 2239475.00 0
884581 28.88 100281.89 27.43 102400000.00 1
885830 28.45 100276.76 27.42 102400000.00 2
885830 28.45 100276.76 27.42 102400000.00 2
885830 28.45 100276.76 27.42 102400000.00 2
885830 28.45 100276.76 27.42 102400000.00 2
890078 28.33 100272.26 27.74 102400000.00 3
890828 28.55 100270.09 27.85 34748676.00 4
892078 28.73 100274.06 27.94 33368636.00 6
892827 28.80 100274.84 28.01 2066599.38 7
894327 29.54 100277.14 30.76 1626042.13 9
895327 30.31 100281.91 36.65 102400000.00 1
895327 30.31 100281.91 36.65 102400000.00 1
896576 29.48 100283.89 44.63 102400000.00 2
896576 29.48 100283.89 44.63 102400000.00 2
896576 29.48 100283.89 44.63 102400000.00 2
896576 29.48 100283.89 44.63 102400000.00 2
900824 28.66 100274.80 58.87 102400000.00 3
902324 28.92 100274.31 60.99 16916882.00 5
902823 28.92 100276.10 61.35 16520292.00 6
904323 29.09 100275.60 61.59 1438202.25 8
905073 29.14 100276.24 61.64 1515914.13 9
906072 29.08 100282.41 61.70 102400000.00 1
907322 28.66 100286.18 61.76 102400000.00 2
907322 28.66 100286.18 61.76 102400000.00 2
907322 28.66 100286.18 61.76 102400000.00 2
907322 28.66 100286.18 61.76 102400000.00 2
907322 28.66 100286.18 61.76 102400000.00 2
912320 28.78 100289.65 60.31 20127764.00 4
913069 28.89 100283.24 59.81 19551312.00 5
914319 29.01 100280.18 57.67 1381450.25 7
915069 29.10 100276.88 56.42 1500916.13 8
915818 29.14 100278.28 55.06 1573569.00 9
916818 29.09 100278.41 53.26 102400000.00 1
918068 28.73 100269.95 50.11 102400000.00 2
918068 28.73 100269.95 50.11 102400000.00 2
918068 28.73 100269.95 50.11 102400000.00 2
918068 28.73 100269.95 50.11 102400000.00 2
922316 28.82 100269.45 43.59 102400000.00 3
923066 29.11 100264.52 42.82 4364411.50 4
923815 29.29 100263.88 41.99 3744914.25 5
925065 29.51 100264.11 40.36 488549.63 7
925815 29.63 100266.31 39.68 364932.28 8
927314 29.74 100273.27 38.55 429260.13 0
927564 29.69 100277.04 38.19 100284624.00 1
928814 29.34 100284.23 37.09 72676464.00 2
928814 29.34 100284.23 37.09 72676464.00 2
928814 29.34 100284.23 37.09 72676464.00 2
928814 29.34 100284.23 37.09 72676464.00 2
933062 29.48 100282.68 35.30 40329848.00 3
933811 29.72 100279.91 35.82 1835948.00 4
935311 29.97 100282.80 36.42 1568147.00 6
935811 30.06 100281.71 36.32 335847.81 7
937310 30.24 100279.27 35.89 520589.72 9
938310 30.24 100278.20 35.50 99034376.00 1
938310 30.24 100278.20 35.50 99034376.00 1
939809 29.89 100278.45 35.28 55153376.00 2
939809 29.89 100278.45 35.28 55153376.00 2
939809 29.89 100278.45 35.28 55153376.00 2
939809 29.89 100278.45 35.28 55153376.00 2
943808 29.91 100282.92 41.89 26489894.00 3
945307 30.29 100279.74 41.26 1290078.75 5
946057 30.35 100281.34 40.84 1248780.50 6
947306 30.55 100281.53 39.86 396591.78 8
948056 30.62 100283.01 39.03 475284.28 9
949056 30.61 100282.02 38.20 102400000.00 1
949056 30.61 100282.02 38.20 102400000.00 1
950555 30.47 100285.19 40.20 102160560.00 2
950555 30.47 100285.19 40.20 102160560.00 2
950555 30.47 100285.19 40.20 102160560.00 2
950555 30.47 100285.19 40.20 102160560.00 2
955303 32.05 100284.36 62.80 2392523.25 4
956053 32.39 100286.26 65.04 2244998.75 5
956803 32.36 100286.91 66.52 2156357.00 6
958052 32.33 100286.88 68.82 420533.88 8
958802 32.30 100286.25 69.75 479962.50 9
959802 32.17 100287.09 70.74 102400000.00 1
961301 31.64 100283.55 71.57 102400000.00 2
961301 31.64 100283.55 71.57 102400000.00 2
961301 31.64 100283.55 71.57 102400000.00 2
961301 31.64 100283.55 71.57 102400000.00 2
965299 31.21 100289.84 73.37 77101176.00 3
966049 31.41 100289.66 73.65 3460190.00 4
966799 31.51 100287.88 73.75 3211919.25 5
968298 31.55 100287.19 73.68 96186.36 7
968798 31.62 100286.10 73.75 59286.71 8
970298 31.73 100286.13 73.48 15880.89 0
970548 31.67 100287.32 73.44 279475.97 1
972047 31.27 100291.27 72.99 145454.55 2
972047 31.27 100291.27 72.99 145454.55 2
972047 31.27 100291.27 72.99 145454.55 2
972047 31.27 100291.27 72.99 145454.55 2
976295 31.14 100296.38 70.63 114592.66 3
976795 31.35 100297.52 70.20 35398.23 4
978294 31.49 100292.52 68.86 42866.71 6
979044 31.53 100295.09 68.06 55327.43 7
980294 31.63 100298.26 65.87 151255.55 9
981294 31.58 100298.02 64.73 24749244.00 1
981294 31.58 100298.02 64.73 24749244.00 1
982793 31.15 100302.22 62.96 14118053.00 2
982793 31.15 100302.22 62.96 14118053.00 2
982793 31.15 100302.22 62.96 14118053.00 2
982793 31.15 100302.22 62.96 14118053.00 2
987041 31.06 100296.97 56.47 6356547.00 3
988291 31.40 100293.76 54.67 529883.56 5
989041 31.44 100294.16 53.46 523785.16 6
989790 31.50 100291.74 52.04 179775.28 7
991040 31.61 100288.69 48.97 314496.31 9
992039 31.56 100288.23 47.31 67562888.00 1
992039 31.56 100288.23 47.31 67562888.00 1
993539 31.14 100293.20 45.28 43502156.00 2
993539 31.14 100293.20 45.28 43502156.00 2
993539 31.14 100293.20 45.28 43502156.00 2
993539 31.14 100293.20 45.28 43502156.00 2
997787 31.00 100292.85 40.64 22490048.00 3
999036 31.36 100292.02 39.52 762188.31 5
999786 31.44 100290.38 39.00 123552.13 6
1001285 31.64 100289.71 38.50 6171.65 8
1001785 31.68 100289.71 38.33 9378.66 9
1002785 31.65 100291.71 37.76 233257.41 1
1004284 31.23 100295.48 37.12 148621.19 2
1004284 31.23 100295.48 37.12 148621.19 2
1004284 31.23 100295.48 37.12 148621.19 2
1004284 31.23 100295.48 37.12 148621.19 2
1004284 31.23 100295.48 37.12 148621.19 2
1009282 31.39 100295.69 34.59 23029.87 4
1009782 31.52 100290.05 34.72 22076.58 5
1011281 31.64 100289.86 35.00 31181.49 7
1012031 31.73 100290.81 34.83 61642.19 8
1013281 31.81 100291.59 34.21 132780.08 0
1013531 31.73 100292.42 34.06 11985369.00 1
1015030 31.31 100294.32 33.26 6679168.50 2
1015030 31.31 100294.32 33.26 6679168.50 2
1015030 31.31 100294.32 33.26 6679168.50 2
1015030 31.31 100294.32 33.26 6679168.50 2
1019278 31.19 100288.03 32.32 2922583.00 3
1020028 31.42 100284.51 32.78 310209.03 4
1021278 31.63 100282.16 33.28 49401.77 6
