=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.12.06 14:57:57 =~=~=~=~=~=~=~=~=~=~=~=
0 0.00 0.00 0.00 0.00 0
0 0.00 0.00 0.00 0.00 0
2139 35.67 100672.34 18.87 121615.20 0
2389 35.82 100675.23 18.89 12208644.00 1
3889 35.82 100675.41 18.75 11816805.00 2
3889 35.82 100675.41 18.75 11816805.00 2
3889 35.82 100675.41 18.75 11816805.00 2
7887 35.36 100676.24 1411478 28.50 101118.98 23.28 55083840.00 2
411478 28.50 101118.98 23.28 55083840.00 2
415726 28.38 101134.92 23.24 52883600.00 3
416226 28.57 101138.28 23.30 3145325.50 4
416975 28.68 101141.04 23.31 3145325.50 5
417725 28.73 101142.64 23.28 3127314.25 6
419224 28.86 101147.10 23.28 311909.84 8
419724 28.91 101151.21 23.28 316244.59 9
420724 28.88 101155.82 23.22 56728848.00 1
422223 28.51 101160.83 23.14 54910768.00 2
422223 28.51 101160.83 23.14 54910768.00 2
422223 28.51 101160.83 23.14 54910768.00 2
422223 28.51 101160.83 23.14 54910768.00 2
426471 28.40 101175.77 23.14 52565472.00 3
426971 28.59 101178.55 23.18 3169052.25 4
427721 28.71 101181.78 23.18 3147138.00 5
429220 28.81 101187.97 23.19 309646.22 7
429720 28.89 101190.59 23.16 314786.34 8
431220 28.96 101196.65 23.13 321003.13 0
431470 28.90 101197.30 23.09 56618576.00 1
432969 28.53 101199.66 23.06 54465820.00 2
432969 28.53 101199.66 23.06 54465820.00 2
432969 28.53 101199.66 23.06 54465820.00 2
436968 28.43 101219.79 23.01 52883600.00 3
437717 28.61 101219.26 23.05 3169052.25 4
438467 28.73 101221.19 23.05 3130900.00 5
439217 28.77 101224.33 23.07 3091904.25 6
439966 28.83 101228.15 23.07 309365.56 7
441216 28.95 101233.71 23.05 316537.88 9
442215 28.92 101238.36 22.99 56839548.00 1
443715 28.55 101244.14 22.94 55153376.00 2
443715 28.55 101244.14 22.94 55153376.00 2
443715 28.55 101244.14 22.94 55153376.00 2
443715 28.55 101244.14 22.94 55153376.00 2
447713 28.44 101259.49 22.93 52407836.00 3
448463 28.63 101262.54 22.95 3154409.00 4
449213 28.74 101265.48 22.95 3125524.50 5
449962 28.78 101268.63 22.95 3105971.50 6
451212 28.92 101271.25 22.96 314496.31 8
451962 28.96 101274.36 22.94 318308.97 9
452962 28.92 101278.98 22.90 57062256.00 1
454461 28.55 101283.24 22.84 55468472.00 2
454461 28.55 101283.24 22.84 55468472.00 2
454461 28.55 101283.24 22.84 55468472.00 2
458459 28.44 101298.71 22.86 53663052.00 3
459209 28.63 101300.88 22.87 3152588.00 4
459959 28.75 101306.92 22.85 3136294.00 5
460709 28.79 101316.48 22.86 3079699.25 6
461208 28.84 101318.02 22.88 309927.38 7
461958 28.93 101321.98 22.86 314496.31 8
463457 28.99 101327.58 22.85 323436.50 0
463707 28.93 101327.84 22.84 56399312.00 1
465207 28.55 101327.66 22.75 55787188.00 2
465207 28.55 101327.66 22.75 55787188.00 2
465207 28.55 101327.66 22.75 55787188.00 2
469205 28.45 101339.41 22.75 53238016.00 3
469955 28.64 101343.58 22.78 3152588.00 4
470705 28.75 101346.16 22.76 3143515.00 5
471454 28.80 101350.05 22.78 3105971.50 6
471954 28.85 101351.93 22.75 309927.38 7
473453 28.97 101355.89 22.76 318012.44 9
474453 28.94 101361.39 22.72 57211696.00 1
475703 28.57 101363.47 22.66 55716048.00 2
475703 28.57 101363.47 22.66 55716048.00 2
475703 28.57 101363.47 22.66 55716048.00 2
475703 28.57 101363.47 22.66 55716048.00 2
479951 28.45 101372.64 22.61 53696028.00 3
480700 28.65 101377.67 22.68 3202502.00 4
481450 28.76 101380.54 22.71 3165378.75 5
482200 28.80 101382.27 22.68 3113053.50 6
483449 28.94 101388.21 22.69 314496.31 8
484199 28.98 101390.81 22.67 319202.00 9
485199 28.95 101394.53 22.63 56765700.00 1
486448 28.59 101397.51 22.56 55468472.00 2
486448 28.59 101397.51 22.56 55468472.00 2
486448 28.59 101397.51 22.56 55468472.00 2
486448 28.59 101397.51 22.56 55468472.00 2
490696 28.46 101408.91 22.58 54028028.00 3
491446 28.66 101420.89 22.61 3193139.75 4
492196 28.77 101424.05 22.60 3134494.00 5
493445 28.88 101427.80 22.60 308248.03 7
494195 28.95 101430.91 22.58 314496.31 8
494945 28.99 101434.24 22.63 319202.00 9
495945 28.96 101435.33 22.53 57399604.00 1
497194 28.59 101431.63 22.48 56001708.00 2
497194 28.59 101431.63 22.48 56001708.00 2
497194 28.59 101431.63 22.48 56001708.00 2
501442 28.47 101443.14 22.51 53729044.00 3
502192 28.66 101447.10 22.53 3183832.00 4
502941 28.77 101451.41 22.53 3150769.25 5
503441 28.82 101453.09 22.52 3125524.50 6
504191 28.88 101454.44 22.50 309365.56 7
504941 28.96 101456.29 22.51 315659.69 8
506440 29.02 101459.03 22.47 322215.22 0
506690 28.96 101462.34 22.48 57136880.00 1
507940 28.60 101463.66 22.44 56362932.00 2
507940 28.60 101463.66 22.44 56362932.00 2
507940 28.60 101463.66 22.44 56362932.00 2
512188 28.48 101477.20 22.40 53961300.00 3
512938 28.67 101476.77 22.45 3178273.50 4
513687 28.79 101480.33 22.45 3181977.00 5
514187 28.83 101481.15 22.46 3143515.00 6
515687 28.96 101486.84 22.43 313629.41 8
516436 29.00 101488.87 22.39 319202.00 9
517436 28.98 101490.18 22.41 57550824.00 1
518686 28.60 101494.86 22.33 56254076.00 2
518686 28.60 101494.86 22.33 56254076.00 2
518686 28.60 101494.86 22.33 56254076.00 2
518686 28.60 101494.86 22.33 56254076.00 2
522934 28.48 101504.73 22.36 53994644.00 3
523683 28.67 101508.22 22.34 3181977.00 4
524183 28.79 101508.88 22.36 3163545.00 5
525683 28.90 101513.33 22.35 309646.22 7
526432 28.97 101516.91 22.35 314496.31 8
527682 29.04 101517.82 22.32 323743.28 0
527932 28.97 101516.77 22.35 57817380.00 1
529431 28.61 101522.30 22.26 56435736.00 2
529431 28.61 101522.30 22.26 56435736.00 2
529431 28.61 101522.30 22.26 56435736.00 2
533680 28.48 101529.00 22.26 54330364.00 3
534429 28.67 101533.35 22.28 3191273.75 4
534929 28.79 101537.19 22.32 3204381.00 5
535679 28.84 101537.77 22.30 3141706.50 6
536429 28.90 101538.95 22.30 308248.03 7
537678 29.01 101539.56 22.29 317716.41 9
538678 28.98 101544.46 22.27 57779148.00 1
540177 28.61 101545.04 22.16 56802600.00 2
