=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.12.06 15:18:20 =~=~=~=~=~=~=~=~=~=~=~=
572420 28.33 100339.78 20.43 57062256.00 2
572420 28.33 100339.78 20.43 57062256.00 2
576419 28.21 100337.90 20.44 55751596.00 3
577168 28.38 100338.00 20.46 3307226.50 4
577918 28.50 100336.77 20.48 3283366.75 5
578668 28.54 100335.75 20.49 3254021.75 6
579418 28.61 100336.41 20.47 315076.94625899 28.29 100319.82 20.43 57664760.00 2
625899 28.29 100319.82 20.43 57664760.00 2
625899 28.29 100319.82 20.43 57664760.00 2
630147 28.18 100317.98 20.46 55751596.00 3
630897 28.34 100318.33 20.48 3299234.75 4
631647 28.46 100317.58 20.53 3299234.75 5
632896 28.57 100317.27 20.51 317716.41 7
633646 28.66 100318.64 20.50 322215.22 8
634895 28.72 100315.13 20.50 328731.94 0
635395 28.67 100316.52 20.48 59470056.00 1
636645 28.30 100317.73 20.41 57588752.00 2
636645 28.30 100317.73 20.41 57588752.00 2
636645 28.30 100317.73 20.41 57588752.00 2
640893 28.19 100313.82 20.46 55858512.00 3
641643 28.36 100314.60 20.47 3325350.00 4
642142 28.47 100312.81 20.48 3289299.25 5
642892 28.52 100313.55 20.50 3259848.75 6
643642 28.58 100313.01 20.50 317716.41 7
644392 28.66 100313.99 20.51 320701.53 8
645891 28.68 100313.76 20.48 59551112.00 1
647391 28.31 100314.61 20.43 58009296.00 2
647391 28.31 100314.61 20.43 58009296.00 2
647391 28.31 100314.61 20.43 58009296.00 2
647391 28.31 100314.61 20.43 58009296.00 2
651639 28.20 100312.05 20.44 56181740.00 3
652388 28.37 100313.17 20.46 3325350.00 4
652888 28.48 100311.16 20.49 3323326.50 5
653638 28.52 100311.81 20.49 3269606.75 6
655137 28.68 100311.96 20.49 322215.22 8
655887 28.71 100311.88 20.48 325596.19 9
656637 28.68 100312.22 20.46 59754728.00 1
658136 28.32 100311.73 20.42 57932376.00 2
658136 28.32 100311.73 20.42 57932376.00 2
658136 28.32 100311.73 20.42 57932376.00 2
658136 28.32 100311.73 20.42 57932376.00 2
662384 28.20 100310.01 20.42 56181740.00 3
662884 28.38 100310.31 20.46 3323326.50 4
663634 28.49 100308.53 20.46 3309230.50 5
665133 28.61 100309.48 20.50 319202.00 7
665883 28.68 100309.37 20.50 323743.28 8
667132 28.75 100310.84 20.47 327784.91 0
667382 28.70 100310.70 20.47 59148016.00 1
668882 28.32 100309.04 20.40 58009296.00 2
668882 28.32 100309.04 20.40 58009296.00 2
668882 28.32 100309.04 20.40 58009296.00 2
673130 28.20 100305.45 20.41 56399312.00 3
673630 28.38 100304.82 20.45 3351882.25 4
674380 28.50 100306.54 20.45 3307226.50 5
675129 28.53 100304.39 20.48 3291281.75 6
675879 28.60 100304.64 20.49 317126.03 7
677128 28.72 100303.27 20.47 326530.63 9
