=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.12.06 14:08:48 =~=~=~=~=~=~=~=~=~=~=~=
5308875 29.43 100525.78 18.21 102400000.00 3
5309375 29.64 100525.49 18.26 21729442.00 4
5310125 29.77 100526.99 18.26 21389034.00 5
5310875 29.82 100528.88 18.29 20938020.00 6
5311624 29.90 100527.14 18.21 1399863.25 7
5312374 29.99 100528.09 18.28 1462857.13 8
5312874 30.04 100527.45 18.31 155771197 29.53 100085.68 23.57 102400000.00 3
5771947 29.76 100090.10 23.62 35569064.00 4
5772697 29.89 100095.81 23.65 34776332.00 5
5773446 29.94 100099.75 23.64 34393072.00 6
5773946 30.01 100101.88 23.64 2029732.38 7
5774696 30.10 100105.71 23.61 2069732.25 8
5775446 30.15 100107.61 23.60 2132778.00 9
5776195 30.18 100115.16 23.59 2183951.00 0
5776445 30.10 100115.66 23.57 102400000.00 1
5777945 29.67 100122.24 23.49 102400000.00 2
5781943 29.56 100142.50 23.56 102400000.00 3
5782693 29.79 100149.63 23.58 35055364.00 4
5783443 29.92 100152.80 23.60 34556288.00 5
5784192 29.97 100158.63 23.58 33419684.00 6
5784692 30.05 100160.46 23.59 1973975.88 7
5785442 30.13 100163.95 23.57 2046465.13 8
5786192 30.18 100167.41 23.57 2116249.00 9
5786941 30.20 100170.32 23.55 2154655.50 0
5787191 30.13 100174.12 23.52 102400000.00 1
5788691 29.70 100178.10 23.44 102400000.00 2
5792689 29.58 100200.25 23.47 102400000.00 3
5793439 29.81 100206.84 23.52 34204592.00 4
5794189 29.94 100211.05 23.56 33677288.00 5
5794938 29.99 100216.29 23.55 33065590.00 6
5795688 30.07 100227.48 23.55 1962625.75 7
5796188 30.15 100232.61 23.53 2034268.63 8
5796937 30.20 100236.12 23.50 2104830.50 9
5797687 30.22 100240.87 23.52 2139462.00 0
5797937 30.14 100241.14 23.48 102400000.00 1
5799437 29.71 100246.98 23.39 102400000.00 2
