=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:32:59 =~=~=~=~=~=~=~=~=~=~=~=
0 0.00 0.00 0.00 0.00 0
0 0.00 0.00 0.00 0.00 0
2116 27.18 101009.48 35.41 10858.50 0
2366 27.39 101012.84 35.45 147465.44 1
3866 27.61 101019.11 35.40 155954.92 2
3866 27.61 101019.11 35.40 155954.92 2
3866 27.61 101019.11 35.40 155954.92 2
7865 27.72 101034.04 34.92 161425110 28.09 101090.34 33.72 653061.25 2
25110 28.09 101090.34 33.72 653061.25 2
29359 28.02 101102.70 33.69 599707.19 3
30109 28.21 101103.21 33.74 97282.92 4
30858 28.34 101105.55 33.74 95540.21 5
31359 28.38 101106.66 33.69 92219.02 6
32858 28.56 101111.55 33.67 24114.54 8
33608 28.62 101114.73 33.63 25513.26 9
34608 28.59 101117.66 33.58 919829.31 1
35857 28.22 101122.09 33.45 838485.19 2
35857 28.22 101122.09 33.45 838485.19 2
35857 28.22 101122.09 33.45 838485.19 2
40106 28.15 101132.60 33.45 770794.13 3
40856 28.35 101135.70 33.47 117431.20 4
41356 28.47 101135.71 33.49 114209.23 5
42106 28.52 101140.60 33.47 112478.03 6
42855 28.61 101140.52 33.45 25241.57 7
43605 28.69 101142.47 33.42 27032.73 8
45105 28.72 101149.33 33.33 1091975.50 1
46605 28.35 101155.35 33.23 1002938.31 2
46605 28.35 101155.35 33.23 1002938.31 2
46605 28.35 101155.35 33.23 1002938.31 2
46605 28.35 101155.35 33.23 1002938.31 2
50853 28.27 101168.37 33.22 911843.25 3
51603 28.46 101170.63 33.24 133716.38 4
52103 28.58 101171.02 33.23 130445.86 5
52853 28.64 101173.45 33.24 127617.15 6
53603 28.72 101174.14 33.23 27467.81 7
54853 28.86 101177.73 33.14 30910.41 9
55852 28.83 101180.82 33.10 1234106.63 1
57352 28.46 101186.53 32.97 1135569.75 2
57352 28.46 101186.53 32.97 1135569.75 2
57352 28.46 101186.53 32.97 1135569.75 2
57352 28.46 101186.53 32.97 1135569.75 2
61601 28.38 101195.16 32.98 1034082.31 3
62101 28.57 101198.91 33.00 147338.13 4
62850 28.69 101201.13 33.01 143377.20 5
63600 28.73 101202.72 32.99 140775.36 6
65100 28.90 101204.23 32.98 31204.29 8
65600 28.95 101205.80 32.95 32536.86 9
66600 28.92 101210.53 32.85 1351369.13 1
68099 28.55 101214.13 32.74 1248780.50 2
68099 28.55 101214.13 32.74 1248780.50 2
68099 28.55 101214.13 32.74 1248780.50 2
72098 28.46 101223.63 32.73 1132743.38 3
72848 28.65 101225.70 32.78 157248.16 4
73598 28.76 101227.18 32.80 153431.22 5
74348 28.81 101231.60 32.76 150058.61 6
75097 28.89 101233.85 32.76 30776.63 7
75597 28.99 101235.52 32.72 32661.39 8
77097 29.06 101236.92 32.64 35222.89 0
77347 29.01 101239.94 32.63 1464426.13 1
78846 28.63 101242.04 32.52 1344714.38 2
78846 28.63 101242.04 32.52 1344714.38 2
78846 28.63 101242.04 32.52 1344714.38 2
82845 28.54 101254.98 32.49 1217598.13 3
83595 28.73 101254.54 32.53 166775.25 4
84345 28.84 101256.26 32.55 162488.09 5
85095 28.89 101259.47 32.55 158710.48 6
85595 28.97 101260.83 32.53 32193.16 7
87094 29.11 101264.70 32.46 35457.06 9
88094 29.08 101267.57 32.40 1576294.00 1
89594 28.70 101272.43 32.28 1426183.88 2
89594 28.70 101272.43 32.28 1426183.88 2
89594 28.70 101272.43 32.28 1426183.88 2
89594 28.70 101272.43 32.28 1426183.88 2
93593 28.61 101282.13 32.29 1302384.75 3
94343 28.80 101280.75 32.33 176066.03 4
95092 28.91 101280.52 32.33 171123.00 5
96342 29.04 101284.95 32.32 33376.79 7
97092 29.13 101287.74 32.29 35106.96 8
97842 29.18 101289.78 32.25 36550.54 9
98842 29.14 101292.40 32.19 1663688.00 1
100091 28.76 101302.55 32.10 1526933.88 2
100091 28.76 101302.55 32.10 1526933.88 2
100091 28.76 101302.55 32.10 1526933.88 2
104340 28.66 101309.33 32.07 1367612.75 3
105090 28.84 101304.44 32.11 182661.44 4
105840 28.97 101305.88 32.13 177901.33 5
106340 29.01 101307.52 32.11 173736.00 6
107090 29.09 101309.14 32.12 34096.96 7
107840 29.18 101310.09 32.09 35965.16 8
109339 29.25 101314.15 32.03 38600.72 0
109589 29.20 101315.70 32.02 1726812.88 1
110839 28.81 101319.96 31.89 1598439.00 2
110839 28.81 101319.96 31.89 1598439.00 2
110839 28.81 101319.96 31.89 1598439.00 2
115088 28.71 101329.83 31.91 1424695.63 3
115838 28.89 101335.09 31.94 192589.81 4
116587 29.02 101337.32 31.98 183644.19 5
117087 29.06 101337.66 31.96 178833.39 6
117837 29.14 101335.23 31.94 34934.50 7
119337 29.28 101338.26 31.89 38357.80 9
120336 29.24 101338.76 31.83 1763616.75 1
121586 28.86 101336.03 31.75 1650614.50 2
121586 28.86 101336.03 31.75 1650614.50 2
121586 28.86 101336.03 31.75 1650614.50 2
121586 28.86 101336.03 31.75 1650614.50 2
125835 28.75 101344.08 31.75 1472322.13 3
126585 28.95 101345.57 31.81 197607.09 4
127085 29.06 101345.86 31.80 192807.38 5
127835 29.11 101348.07 31.80 183446.80 6
129334 29.28 101349.16 31.77 37647.06 8
130084 29.32 101348.88 31.72 38846.74 9
130834 29.29 101350.55 31.70 1816408.00 1
132333 28.91 101354.17 31.56 1688375.88 2
132333 28.91 101354.17 31.56 1688375.88 2
132333 28.91 101354.17 31.56 1688375.88 2
132333 28.91 101354.17 31.56 1688375.88 2
136582 28.80 101358.48 31.59 1524376.63 3
137332 29.00 101360.74 31.61 201337.00 4
137832 29.11 101362.76 31.65 197264.50 5
139331 29.24 101363.41 31.62 36178.63 7
140081 29.32 101363.56 31.61 38083.90 8
141331 29.39 101366.57 31.56 40660.74 0
141581 29.34 101368.43 31.53 1866059.25 1
143080 28.95 101369.54 31.41 1743349.63 2
143080 28.95 101369.54 31.41 1743349.63 2
143080 28.95 101369.54 31.41 1743349.63 2
147329 28.85 101372.84 31.47 1581772.50 3
147829 29.04 101372.87 31.49 206701.66 4
148579 29.16 101375.16 31.48 200391.39 5
149329 29.21 101376.60 31.47 196356.66 6
150079 29.29 101376.62 31.46 36644.72 7
151328 29.42 101376.77 31.39 40050.06 9
152328 29.38 101378.16 31.39 1923908.00 1
153828 29.00 101380.64 31.27 1778549.75 2
153828 29.00 101380.64 31.27 1778549.75 2
