=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.12.06 14:36:37 =~=~=~=~=~=~=~=~=~=~=~=
7410813 30.09 98879.66 21.90 789971.06 0
7411313 30.03 98883.27 21.86 102400000.00 1
7412563 29.59 98891.47 21.78 102400000.00 2
7416811 29.50 98928.65 21.65 102400000.00 3
7417561 29.72 98931.63 21.70 8680265.00 4
7418310 29.85 98938.00 21.70 8598268.00 5
7418810 29.90 98942.22 21.69 832307438302 29.57 99102.33 21.06 102400000.00 3
7439052 29.80 99105.52 21.05 7652499.00 4
7439802 29.94 99109.69 21.05 7484696.00 5
7440302 29.99 99116.45 21.03 7338858.00 6
7441051 30.07 99119.31 21.01 643216.06 7
7441801 30.16 99122.46 21.00 658097.69 8
7442551 30.20 99128.94 21.01 676354.00 9
7443300 30.23 99137.34 20.93 681757.69 0
7443550 30.16 99137.80 20.89 102400000.00 1
7444800 29.73 99146.27 20.81 102400000.00 2
7449048 29.63 99181.59 20.71 102400000.00 3
7449798 29.85 99189.52 20.72 7275311.00 4
7450548 29.99 99196.91 20.73 7160839.00 5
7451047 30.04 99202.47 20.73 6968949.50 6
7451797 30.11 99207.89 20.69 620982.44 7
7452547 30.21 99212.58 20.68 637212.19 8
7453296 30.25 99219.29 20.65 651192.38 9
7454046 30.28 99223.48 20.63 665151.00 0
7454296 30.21 99225.98 20.61 102400000.00 1
7455546 29.78 99234.68 20.49 102400000.00 2
7459794 29.67 99265.74 20.42 102400000.00 3
7460544 29.90 99272.84 20.44 7045366.50 4
7461293 30.03 99279.05 20.43 6850930.50 5
7461793 30.08 99284.07 20.42 6753503.50 6
7462543 30.16 99287.88 20.41 600762.69 7
7463293 30.24 99292.44 20.40 620982.44 8
7464042 30.29 99298.88 20.36 632489.19 9
7464792 30.32 99304.67 20.33 643822.69 0
7465042 30.24 99306.12 20.27 102400000.00 1
7466292 29.82 99320.30 20.21 102400000.00 2
7470540 29.70 99351.16 20.12 102400000.00 3
7471289 29.93 99357.66 20.14 6770248.00 4
7472039 30.06 99365.16 20.16 6662871.00 5
7472789 30.11 99366.97 20.11 6504168.50 6
7473289 30.19 99370.49 20.12 585812.38 7
7474038 30.27 99375.89 20.13 607174.63 8
7474788 30.32 99379.20 20.06 621547.81 9
7475538 30.35 99384.81 20.05 631903.75 0
7475788 30.27 99388.33 19.98 102400000.00 1
7477037 29.84 99401.08 19.94 102400000.00 2
7481285 29.72 99433.32 19.84 102400000.00 3
7482035 29.95 99440.67 19.87 6539213.50 4
7482785 30.08 99444.55 19.84 6401250.00 5
7483535 30.13 99450.04 19.84 6290651.00 6
7484035 30.21 99453.52 19.83 573508.81 7
7484784 30.30 99460.21 19.81 591394.75 8
7485534 30.34 99465.78 19.82 606635.06 9
7486284 30.37 99470.11 19.79 612623.38 0
7486534 30.29 99472.38 19.74 102400000.00 1
7487783 29.87 99483.43 19.64 102400000.00 2
7492031 29.74 99515.38 19.57 102400000.00 3
7492781 29.97 99520.68 19.60 6360248.50 4
7493531 30.10 99524.97 19.60 6279800.50 5
7494280 30.14 99529.54 19.61 6124860.00 6
7494780 30.22 99535.98 19.58 564031.94 7
7495530 30.31 99540.53 19.54 582811.63 8
7496280 30.35 99547.01 19.55 598130.81 9
7497029 30.38 99551.06 19.52 603417.81 0
7497279 30.31 99554.13 19.50 102400000.00 1
7498529 29.88 99560.95 19.41 102400000.00 2
7502777 29.75 99591.16 19.32 102400000.00 3
7503526 29.98 99600.96 19.36 6243902.50 4
