=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:42:47 =~=~=~=~=~=~=~=~=~=~=~=
2379499 28.88 98211.96 20.94 102400000.00 2
2383748 28.72 98196.28 21.29 102400000.00 3
2384497 28.91 98190.87 21.39 5795543.00 4
2385247 29.03 98189.88 21.50 5710700.50 5
2385747 29.07 98187.96 21.51 5622512.00 6
2386497 29.13 98184.98 21.60 576901.44 7
2387247 29.21 98181.95 21.57 591394.75 2655643 28.39 99355.17 23.40 840550.00 8
2656392 28.44 99360.65 23.36 848384.44 9
2657142 28.46 99364.68 23.31 859060.38 0
2657392 28.39 99366.20 23.28 102400000.00 1
2658891 27.98 99376.95 23.18 102400000.00 2
2662890 27.88 99408.15 23.15 102400000.00 3
2663639 28.11 99414.95 23.17 9462316.00 4
2664389 28.24 99417.62 23.17 9301164.00 5
2665139 28.28 99420.27 23.14 9160749.00 6
2665889 28.37 99427.44 23.11 804399.06 7
2666389 28.45 99430.58 23.09 820348.50 8
2667138 28.51 99438.28 23.08 839000.44 9
2667888 28.54 99442.70 23.05 856903.75 0
2668138 28.46 99443.52 23.04 102400000.00 1
2669637 28.05 99453.65 22.91 102400000.00 2
2673636 27.96 99484.72 22.88 102400000.00 3
2674385 28.18 99489.33 22.89 9277463.00 4
2675135 28.30 99493.98 22.93 9061947.00 5
2675885 28.35 99499.43 22.87 8892266.00 6
2676634 28.44 99505.19 22.85 787692.31 7
2677134 28.53 99510.78 22.86 809646.19 8
2677884 28.57 99516.15 22.81 822324.81 9
2678634 28.60 99520.67 22.83 822820.44 0
2678884 28.52 99519.66 22.76 102400000.00 1
2680383 28.11 99534.23 22.68 102400000.00 2
2684381 28.02 99563.94 22.62 102400000.00 3
2685131 28.23 99570.40 22.64 9009623.00 4
2685881 28.36 99576.24 22.61 8834726.00 5
2686631 28.42 99582.67 22.60 8680265.00 6
2687380 28.50 99586.91 22.59 774730.50 7
2687880 28.59 99592.45 22.62 790886.25 8
2688630 28.64 99598.97 22.54 807252.69 9
2689380 28.66 99603.47 22.46 818381.63 0
2689630 28.59 99604.91 22.50 102400000.00 1
2691129 28.17 99613.99 22.43 102400000.00 2
2695128 28.08 99643.51 22.36 102400000.00 3
2695877 28.30 99651.01 22.38 8784987.00 4
2696627 28.42 99654.86 22.37 8659619.00 5
2697377 28.48 99660.02 22.37 8393443.00 6
2698126 28.56 99664.05 22.35 764749.81 7
2698626 28.64 99669.63 22.28 795958.00 8
2699376 28.70 99676.99 22.34 798751.94 9
2700126 28.73 99682.82 22.26 816424.19 0
2700376 28.65 99683.12 22.25 102400000.00 1
2701875 28.23 99689.66 22.16 102400000.00 2
2705873 28.13 99722.12 22.10 102400000.00 3
2706623 28.36 99728.21 22.10 8645910.00 4
2707373 28.48 99733.52 22.13 8458441.00 5
2708123 28.54 99738.34 22.10 8266397.50 6
2708872 28.62 99744.89 22.13 751697.56 7
2709372 28.71 99748.23 22.10 773852.25 8
2710122 28.75 99752.97 22.13 790428.38 9
2710872 28.78 99759.29 22.06 807730.25 0
2711122 28.71 99762.74 22.01 102400000.00 1
2712621 28.29 99769.30 21.95 102400000.00 2
2716619 28.18 99802.94 21.88 102400000.00 3
2717369 28.41 99805.63 21.91 8571279.00 4
2718119 28.54 99811.04 21.91 8374137.50 5
2718869 28.58 99815.44 21.90 8297797.00 6
2719618 28.67 99822.83 21.83 752111.63 7
2720118 28.75 99828.01 21.87 760066.81 8
2720868 28.80 99833.30 21.88 780041.88 9
2721618 28.83 99839.45 21.83 788602.25 0
2721867 28.75 99841.66 21.81 102400000.00 1
2723367 28.33 99851.42 21.73 102400000.00 2
2727365 28.23 99881.30 21.65 102400000.00 3
2728115 28.46 99887.53 21.67 8304105.50 4
2728865 28.58 99892.99 21.70 8204306.50 5
2729614 28.64 99899.15 21.69 8076904.00 6
2730364 28.71 99902.51 21.71 741760.25 7
2730864 28.80 99906.79 21.66 756277.69 8
2731614 28.86 99913.95 21.63 765178.38 9
2732363 28.88 99917.60 21.62 782725.00 0
2732613 28.81 99919.91 21.59 102400000.00 1
2734113 28.38 99929.40 21.50 102400000.00 2
2738111 28.27 99956.17 21.44 102400000.00 3
2738861 28.50 99963.91 21.48 8222835.50 4
2739611 28.63 99970.27 21.47 8064976.50 5
2740360 28.68 99972.98 21.47 7953398.00 6
2741110 28.76 99978.14 21.50 730645.75 7
2741610 28.85 99981.12 21.45 749085.56 8
2742360 28.89 99986.41 21.45 757536.50 9
2743109 28.92 99990.77 21.44 767328.56 0
2743359 28.84 99993.58 21.39 102400000.00 1
2744859 28.42 100001.91 21.30 102400000.00 2
2748857 28.32 100029.55 21.26 102400000.00 3
2749607 28.55 100035.52 21.32 8167497.50 4
2750357 28.68 100041.66 21.29 8070936.00 5
2751106 28.73 100044.46 21.30 7873138.00 6
2751856 28.80 100047.77 21.28 720619.31 7
2752356 28.89 100051.80 21.28 737752.19 8
2753106 28.94 100056.02 21.27 757957.06 9
2753855 28.97 100059.86 21.23 757536.50 0
2754105 28.89 100062.83 21.20 102400000.00 1
2755605 28.46 100067.67 21.11 102400000.00 2
2759603 28.36 100093.84 21.10 102400000.00 3
2760353 28.59 100100.62 21.12 8100865.50 4
2761103 28.72 100103.78 21.12 7918801.50 5
2761852 28.77 100108.20 21.11 7766769.50 6
2762602 28.85 100113.10 21.17 710124.81 7
2763102 28.94 100117.82 21.06 738550.31 8
2763852 28.99 100121.52 21.10 747445.25 9
2764601 29.01 100125.34 21.06 749085.56 0
2764851 28.93 100124.75 21.01 102400000.00 1
2766351 28.51 100130.59 20.96 102400000.00 2
2770349 28.40 100154.77 20.91 102400000.00 3
2771099 28.63 100162.27 20.93 7861804.00 4
2771849 28.76 100167.33 20.96 7777830.50 5
2772598 28.81 100171.25 20.94 7525953.00 6
2773348 28.89 100174.59 20.93 707182.31 7
2773848 28.98 100178.18 20.91 726756.56 8
2774597 29.03 100182.94 20.89 738550.31 9
2775347 29.05 100185.73 20.89 743375.69 0
2775597 28.97 100186.27 20.87 102400000.00 1
2777097 28.55 100194.42 20.77 102400000.00 2
2781095 28.44 100217.78 20.75 102400000.00 3
2781845 28.67 100224.14 20.75 7827998.00 4
2782594 28.80 100226.02 20.76 7811204.00 5
2783344 28.85 100230.56 20.77 7641791.00 6
2784094 28.93 100233.19 20.79 704991.38 7
2784594 29.02 100238.41 20.73 725983.69 8
2785343 29.07 100241.69 20.69 739350.19 9
2786093 29.10 100247.02 20.72 740151.81 0
2786343 29.02 100247.05 20.67 102400000.00 1
2787843 28.59 100254.25 20.62 102400000.00 2
2791841 28.48 100280.74 20.55 102400000.00 3
2792591 28.71 100286.12 20.59 7822392.00 4
2793340 28.84 100289.95 20.60 7615152.00 5
2794090 28.88 100293.95 20.60 7500114.50 6
2794840 28.97 100298.24 20.54 698499.31 7
2795340 29.06 100301.23 20.57 718344.44 8
2796089 29.11 100305.18 20.58 730645.75 9
2796839 29.13 100308.02 20.55 737752.19 0
2797089 29.05 100308.84 20.53 102400000.00 1
2798588 28.64 100315.60 20.43 102400000.00 2
2802587 28.52 100342.59 20.39 102400000.00 3
2803337 28.75 100351.45 20.43 7772296.00 4
2804086 28.88 100354.63 20.43 7647141.00 5
2804836 28.93 100358.04 20.43 7562428.00 6
2805586 29.01 100359.05 20.40 689330.19 7
2806086 29.10 100363.25 20.39 713091.94 8
2806835 29.15 100362.65 20.37 724442.88 9
2807585 29.17 100363.77 20.35 739350.19 0
2807835 29.09 100364.63 20.32 102400000.00 1
2809335 28.67 100372.18 20.26 102400000.00 2
2813333 28.56 100391.05 20.24 102400000.00 3
2814083 28.79 100396.30 20.25 7690213.50 4
2814833 28.92 100402.12 20.25 7641791.00 5
2815582 28.96 100403.91 20.24 7418610.00 6
2816332 29.05 100406.96 20.21 690026.94 7
2816832 29.14 100410.31 20.25 706450.50 8
2817582 29.19 100415.19 20.21 713837.56 9
2818331 29.21 100418.46 20.20 727531.06 0
2818581 29.13 100418.50 20.19 102400000.00 1
2820081 28.71 100423.90 20.08 102400000.00 2
2824079 28.60 100440.31 20.09 102400000.00 3
2824829 28.82 100446.22 20.11 7657864.00 4
2825579 28.95 100450.62 20.09 7531142.50 5
2826328 29.00 100453.84 20.11 7358634.50 6
2826828 29.09 100458.32 20.09 680398.69 7
2827578 29.18 100460.65 20.09 695652.19 8
2828328 29.22 100461.78 20.09 712347.81 9
2829077 29.25 100466.80 20.03 719101.13 0
2829327 29.17 100465.30 20.03 102400000.00 1
2830827 28.75 100468.01 19.96 102400000.00 2
2834825 28.63 100484.02 19.92 102400000.00 3
2835575 28.86 100489.39 19.97 7567667.50 4
2836324 28.99 100492.88 19.96 7418610.00 5
2837074 29.04 100496.09 19.94 7270468.00 6
2837574 29.13 100498.84 19.93 673020.06 7
2838324 29.21 100502.94 19.93 692125.69 8
2839073 29.26 100503.79 19.96 701369.88 9
2839823 29.29 100507.63 19.89 710124.81 0
2840073 29.21 100508.84 19.87 102400000.00 1
2841572 28.78 100509.95 19.80 102400000.00 2
2845571 28.67 100526.47 19.79 102400000.00 3
2846320 28.89 100530.23 19.81 7443889.00 4
