=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:53:47 =~=~=~=~=~=~=~=~=~=~=~=
0 0.00 0.00 0.00 0.00 0
0 0.00 0.00 0.00 0.00 0
2136 27.15 100118.05 21.91 302779.41 0
2386 27.37 100120.46 21.94 51755972.00 1
3885 27.62 100125.90 21.91 51090236.00 2
3885 27.62 100125.90 21.91 51090236.00 2
3885 27.62 100125.90 21.91 51090236.00 2
7883 27.70 100136.36 2429968 27.79 99572.30 22.51 105916.42 9
430967 27.77 99588.48 22.49 8235235.00 1
432467 27.43 99609.97 22.30 8076904.00 2
432467 27.43 99609.97 22.30 8076904.00 2
432467 27.43 99609.97 22.30 8076904.00 2
432467 27.43 99609.97 22.30 8076904.00 2
436715 27.38 99669.13 22.03 7861804.00 3
437215 27.58 99680.45 22.01 734576.75 4
437964 27.70 99690.45 21.96 723674.94 5
438714 27.76 99700.31 21.96 720619.31 6
439464 27.82 99708.76 21.91 99669.07 7
440714 27.97 99730.28 21.83 100136.91 9
441713 27.95 99745.65 21.76 7469341.00 1
443213 27.61 99765.02 21.63 7329009.00 2
443213 27.61 99765.02 21.63 7329009.00 2
443213 27.61 99765.02 21.63 7329009.00 2
443213 27.61 99765.02 21.63 7329009.00 2
447211 27.55 99829.58 21.38 7165537.00 3
447961 27.74 99836.03 21.42 682439.19 4
448710 27.86 99847.02 21.38 677024.81 5
449460 27.91 99858.98 21.33 670376.44 6
450710 28.07 99882.17 21.27 95808.38 8
451459 28.13 99893.19 21.24 95008.35 9
452459 28.11 99910.13 21.15 6812474.00 1
453958 27.75 99931.91 20.98 6687347.00 2
453958 27.75 99931.91 20.98 6687347.00 2
453958 27.75 99931.91 20.98 6687347.00 2
457956 27.69 99992.57 20.82 6515808.50 3
458706 27.88 100001.03 20.80 637807.56 4
459456 28.00 100014.21 20.78 635432.81 5
460206 28.05 100023.66 20.75 627835.69 6
460955 28.13 100036.34 20.73 90077.41 7
461455 28.21 100047.55 20.70 90172.59 8
462955 28.30 100068.59 20.59 89323.10 0
463205 28.25 100073.06 20.59 6382547.50 1
464704 27.89 100094.71 20.47 6240335.00 2
464704 27.89 100094.71 20.47 6240335.00 2
464704 27.89 100094.71 20.47 6240335.00 2
468702 27.81 100159.95 20.25 6111152.50 3
469452 28.00 100171.10 20.23 605022.19 4
470202 28.13 100182.23 20.24 599180.81 5
470952 28.18 100191.96 20.22 591907.50 6
471452 28.24 100201.81 20.17 85906.04 7
472951 28.38 100225.63 20.10 86691.50 9
473951 28.36 100240.87 20.03 5851428.50 1
475200 28.00 100261.62 19.95 5752809.00 2
475200 28.00 100261.62 19.95 5752809.00 2
475200 28.00 100261.62 19.95 5752809.00 2
475200 28.00 100261.62 19.95 5752809.00 2
479448 27.92 100324.50 19.72 5675095.50 3
480198 28.12 100332.93 19.74 573508.81 4
480948 28.23 100342.79 19.73 569205.13 5
481698 28.29 100353.88 19.70 565433.44 6
482947 28.43 100372.24 19.64 83879.42 8
483697 28.49 100383.43 19.62 84210.52 9
484697 28.46 100398.42 19.54 5531397.50 1
485946 28.10 100417.48 19.42 5421575.00 2
485946 28.10 100417.48 19.42 5421575.00 2
485946 28.10 100417.48 19.42 5421575.00 2
485946 28.10 100417.48 19.42 5421575.00 2
490194 28.02 100479.06 19.26 5280051.50 3
490944 28.21 100489.77 19.24 549061.69 4
491694 28.33 100498.25 19.22 541226.19 5
492943 28.44 100520.48 19.18 81321.48 7
493693 28.53 100530.06 19.15 82740.79 8
495192 28.61 100548.77 19.08 82024.99 0
495442 28.55 100553.54 19.07 5234505.00 1
496692 28.19 100574.27 18.97 5092943.50 2
496692 28.19 100574.27 18.97 5092943.50 2
496692 28.19 100574.27 18.97 5092943.50 2
500940 28.11 100629.02 18.84 4995122.00 3
501690 28.29 100635.34 18.78 527835.06 4
502439 28.41 100645.81 18.78 524993.56 5
502939 28.46 100654.86 18.73 520589.72 6
503689 28.52 100663.93 18.74 79281.51 7
505188 28.66 100683.23 18.66 78987.97 9
506188 28.63 100696.91 18.60 4972382.50 1
507437 28.27 100714.77 18.47 4866053.00 2
507437 28.27 100714.77 18.47 4866053.00 2
507437 28.27 100714.77 18.47 4866053.00 2
507437 28.27 100714.77 18.47 4866053.00 2
511686 28.17 100765.30 18.36 4785046.50 3
512435 28.36 100772.55 18.35 510087.19 4
512935 28.48 100783.06 18.33 505180.06 5
513685 28.52 100790.29 18.31 506679.88 6
515184 28.68 100808.30 18.25 78696.59 8
515934 28.73 100817.27 18.24 78263.53 9
516933 28.71 100830.23 18.20 4718894.00 1
518183 28.34 100841.67 18.08 4630865.00 2
518183 28.34 100841.67 18.08 4630865.00 2
518183 28.34 100841.67 18.08 4630865.00 2
518183 28.34 100841.67 18.08 4630865.00 2
522431 28.24 100884.54 17.94 4530973.50 3
523181 28.43 100891.69 17.93 494925.09 4
523681 28.54 100900.41 17.94 488549.63 5
525180 28.66 100916.44 17.90 76167.80 7
525930 28.75 100926.05 17.86 75964.39 8
527180 28.82 100938.44 17.81 76715.61 0
527430 28.77 100940.03 17.79 4471615.50 1
528929 28.39 100952.52 17.67 4378407.50 2
528929 28.39 100952.52 17.67 4378407.50 2
528929 28.39 100952.52 17.67 4378407.50 2
533177 28.29 100988.23 17.53 4302521.00 3
533927 28.48 100994.13 17.55 476279.06 4
534427 28.61 101003.05 17.51 471998.16 5
535177 28.65 101009.16 17.49 470048.19 6
535926 28.72 101017.38 17.51 74245.94 7
537176 28.85 101029.18 17.42 74700.91 9
538176 28.82 101036.78 17.39 4255584.50 1
539675 28.45 101047.92 17.28 4167896.25 2
539675 28.45 101047.92 17.28 4167896.25 2
539675 28.45 101047.92 17.28 4167896.25 2
539675 28.45 101047.92 17.28 4167896.25 2
543923 28.34 101082.05 17.15 4092930.25 3
544423 28.54 101087.21 17.17 461157.41 4
545173 28.65 101092.23 17.15 459605.03 5
545923 28.70 101097.98 17.13 454706.94 6
546672 28.77 101104.05 17.11 72851.45 7
547922 28.89 101113.45 17.08 73289.44 9
548921 28.87 101121.07 17.02 4102153.25 1
550421 28.49 101130.73 16.93 4014702.25 2
550421 28.49 101130.73 16.93 4014702.25 2
550421 28.49 101130.73 16.93 4014702.25 2
550421 28.49 101130.73 16.93 4014702.25 2
554669 28.39 101158.88 16.80 3919617.25 3
555169 28.58 101163.02 16.83 451101.31 4
555919 28.69 101167.22 16.80 447846.06 5
556668 28.74 101173.06 16.80 442332.63 6
