=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.13 18:23:07 =~=~=~=~=~=~=~=~=~=~=~=
2422 23.42 102763.59 48.31 701369.88 1
3922 23.71 102763.34 47.90 736955.75 2
7920 24.03 102764.73 46.46 776051.56 3
8670 24.19 102764.36 46.26 111014.74 4
9420 24.41 102766.37 46.09 112849.90 5
10169 24.50 102763.82 45.89 114285.71 6
10669 24.51 102756.90 45.68 31597.14 7
11419 24.70 10136870 27.41 102769.52 37.19 35224940.00 3
137620 27.63 102769.43 37.24 2139462.00 4
138369 27.75 102771.46 37.26 2082358.88 5
138869 27.78 102769.39 37.35 2023715.38 6
139619 28.53 102769.40 38.53 218336.89 7
140368 29.49 102771.37 41.89 192048.02 8
141118 30.02 102776.61 46.22 166449.94 9
141868 30.55 102778.41 50.72 152335.61 0
142118 30.66 102778.24 52.48 15283582.00 1
143367 30.89 102781.52 60.14 13407529.00 2
147615 31.63 102786.38 72.71 10611399.00 3
148365 31.01 102784.85 72.59 868348.50 4
149115 31.48 102782.09 73.07 839516.31 5
149615 31.97 102782.58 73.93 810607.56 6
150364 32.39 102784.17 74.84 121442.13 7
151114 32.72 102787.61 75.67 120413.92 8
151864 32.96 102784.31 76.37 118081.18 9
152614 33.17 102786.98 76.92 115367.28 0
152863 33.11 102787.73 77.07 9348930.00 1
154113 33.10 102786.43 77.93 8112899.00 2
158361 32.07 102788.95 77.59 6898526.50 3
159111 32.66 102788.67 77.63 615384.63 4
159860 33.23 102792.10 78.09 592935.75 5
160610 33.54 102789.50 78.63 581818.19 6
161110 33.83 102786.82 79.06 101446.41 7
161860 34.11 102787.69 79.48 106180.01 8
162610 34.31 102790.13 79.83 107382.55 9
163359 34.49 102792.83 80.09 108959.35 0
163609 34.47 102793.76 80.19 8285208.50 1
164859 34.29 102792.46 80.62 7100325.00 2
169107 31.77 102793.41 75.59 6382547.50 3
169857 32.21 102792.16 76.17 578367.69 4
170606 32.57 102793.20 76.84 564498.38 5
171356 32.97 102793.41 77.65 544680.88 6
171856 33.38 102793.45 78.44 96896.29 7
172606 33.82 102790.93 79.21 100078.19 8
173355 34.13 102791.82 79.81 101992.03 9
174105 34.12 102795.97 80.11 106511.34 0
174355 33.84 102796.38 79.98 8005863.50 1
175854 32.48 102798.52 79.02 7146783.00 2
179853 31.29 102794.99 68.48 6614453.00 3
180602 32.30 102792.86 69.92 587830.06 4
181352 32.96 102795.56 72.01 565902.19 5
182102 33.32 102796.63 73.97 546424.75 6
182602 33.64 102796.24 75.63 97061.61 7
183351 33.55 102796.92 76.60 103790.80 8
184101 33.26 102797.77 77.06 111814.80 9
184851 32.80 102799.03 77.03 121701.92 0
185101 32.63 102797.65 76.95 10082462.00 1
186600 33.17 102795.60 78.33 8813341.00 2
190598 31.84 102797.27 71.58 7844864.50 3
191348 31.91 102796.24 68.81 692828.13 4
192098 31.89 102796.74 66.06 684492.00 5
192848 31.80 102795.30 63.44 679045.06 6
193597 31.81 102796.66 61.23 125367.29 7
194097 31.79 102797.98 59.28 144960.36 8
194847 31.76 102796.79 57.58 161259.84 9
195597 31.68 102794.38 56.18 173913.05 0
195847 31.56 102795.39 55.64 18729922.00 1
197346 30.97 102797.01 53.36 17541756.00 2
201344 32.46 102794.73 58.22 15219693.00 3
202094 33.31 102795.12 62.46 1083311.25 4
202844 33.63 102796.31 66.04 1022466.31 5
203593 33.12 102798.52 68.16 989850.19 6
204343 32.79 102800.38 69.62 142182.73 7
204843 32.61 102799.23 70.67 149926.80 8
205593 32.37 102796.09 71.08 160050.02 9
206342 32.19 102798.07 70.44 170951.59 0
206592 32.04 102796.88 69.88 18586500.00 1
208092 31.31 102799.02 65.06 17278144.00 2
212340 30.94 102793.40 52.07 16189723.00 3
212840 31.13 102796.37 50.95 1173639.00 4
213590 31.23 102795.09 49.88 1147017.63 5
214339 31.28 102794.30 48.77 1118820.00 6
215089 31.34 102792.53 47.71 169592.58 7
215839 31.41 102782.22 47.08 183644.19 8
216339 31.14 102792.45 46.59 204718.11 9
217088 31.70 102792.32 47.58 196469.69 0
217338 31.98 102794.02 48.79 22036314.00 1
218838 32.90 102782.71 57.40 18924632.00 2
223086 32.76 102794.61 72.32 15533539.00 3
223586 33.39 102794.18 74.07 1118820.00 4
224335 33.81 102793.66 75.51 1076478.38 5
225085 34.00 102796.77 76.60 1031738.06 6
225835 33.11 102797.88 76.34 150322.95 7
226584 32.72 102793.53 75.40 156240.47 8
227084 32.66 102795.79 74.69 160804.02 9
227834 32.58 102796.75 73.70 169256.20 0
228084 32.53 102797.33 73.11 18184240.00 1
229583 33.10 102796.59 74.12 15689729.00 2
233832 33.42 102800.68 77.31 13070602.00 3
234581 33.01 102797.49 77.12 995624.69 4
235081 32.89 102798.41 76.20 963311.38 5
235831 32.84 102797.23 74.86 941392.81 6
236580 32.73 102801.73 73.10 149401.81 7
237330 32.59 102801.24 70.77 165161.30 8
2
