=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.15 02:40:47 =~=~=~=~=~=~=~=~=~=~=~=
26217714 29.37 102407.42 40.66 97705552.00 3
26218462 29.58 102405.49 40.69 4768335.50 4
26219212 29.71 102406.55 40.78 4666477.00 5
26219962 29.77 102408.09 40.81 4599663.00 6
26220462 29.85 102409.59 40.85 446673.94 7
26221212 29.94 102406.70 40.87 460846.09 8
26221962 29.99 102408.47 40.87 426235206 29.60 102407.39 41.18 99034376.00 2
26239204 29.52 102407.68 41.61 92532296.00 3
26239954 29.74 102408.10 41.69 4565060.00 4
26240704 29.87 102408.85 41.76 4489997.50 5
26241454 29.93 102410.77 41.82 4336686.00 6
26241954 30.00 102410.06 41.80 431430.38 7
26242704 30.09 102409.93 41.81 444058.97 8
26243452 30.14 102410.24 41.80 452596.69 9
26244202 30.17 102410.11 41.80 466833.81 0
26244452 30.10 102409.38 41.77 102400000.00 1
26245952 29.70 102410.33 41.88 96946744.00 2
26249950 29.61 102409.23 42.08 90238896.00 3
26250700 29.82 102408.38 42.16 4460659.00 4
26251450 29.95 102410.45 42.20 4367902.00 5
26252200 30.00 102411.00 42.19 4258903.00 6
26252700 30.08 102408.90 42.18 422878.38 7
26253450 30.17 102411.14 42.21 439768.09 8
26254198 30.22 102409.55 42.17 451101.31 9
26254948 30.25 102410.23 42.13 460224.72 0
26255198 30.18 102411.45 42.10 98810400.00 1
26256698 29.76 102410.23 41.97 94228616.00 2
26260696 29.68 102411.46 42.53 88145256.00 3
26261446 29.89 102411.20 42.42 4385439.00 4
26262196 30.03 102410.45 42.47 4255584.50 5
26262946 30.07 102410.29 42.48 4219418.00 6
26263696 30.15 102410.46 42.44 418215.22 7
26264196 30.23 102408.63 42.45 432249.91 8
26264944 30.29 102408.89 42.41 442046.19 9
26265694 30.32 102412.31 42.41 453498.66 0
26265944 30.25 102411.48 42.39 97270504.00 1
26267444 29.84 102411.70 42.27 91180520.00 2
26271442 29.73 102411.22 42.59 86402112.00 3
26272192 29.96 102411.55 42.70 4329809.50 4
26272942 30.09 102411.23 42.72 4190281.25 5
26273692 30.14 102411.35 42.75 4077650.50 6
26274440 30.21 102411.30 42.70 409190.81 7
26274940 30.30 102411.38 42.70 428720.97 8
26275690 30.35 102412.20 42.67 440335.41 9
26276440 30.38 102412.41 42.64 449319.88 0
26276690 30.30 102412.37 42.66 95672992.00 1
26278190 29.89 102411.95 42.45 90332184.00 2
26282188 29.79 102411.93 42.80 84236504.00 3
26282938 30.02 102411.21 42.95 4232498.00 4
26283688 30.14 102411.20 42.97 4120724.25 5
26284436 30.19 102410.92 42.98 4050432.75 6
26285186 30.27 102411.20 42.99 408456.31 7
26285686 30.36 102411.80 42.98 424192.22 8
26286436 30.41 102414.05 42.95 434174.25 9
26287186 30.43 102412.34 42.91 444348.00 0
