=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.22 00:10:02 =~=~=~=~=~=~=~=~=~=~=~=
212595 31.79 99177.05 46.25 196018.38 3
213095 32.00 99174.09 46.33 46410.44 4
213844 32.13 99175.69 46.31 45911.05 5
214594 32.18 99176.48 46.32 45911.05 6
215344 32.27 99174.65 46.30 13322.23 7
216094 32.35 99174.26 46.30 13760.48 8
216594 32.41 99176.33 46.25 14124.92 9
217343 32.43 99298561 31.80 99168.86 46.20 194233.69 3
299311 32.02 99166.36 46.25 46209.39 4
300061 32.14 99163.47 46.32 45861.70 5
300561 32.19 99161.93 46.29 45812.46 6
301310 32.28 99162.01 46.29 13289.04 7
302060 32.37 99161.11 46.25 13751.61 8
302810 32.42 99162.87 46.20 14115.57 9
303559 32.45 99164.05 46.14 14343.34 0
303809 32.37 99164.59 46.13 175884.58 1
305059 31.94 99166.12 46.04 183249.83 2
309307 31.82 99174.87 46.19 194899.13 3
310057 32.04 99174.05 46.28 46209.39 4
310807 32.16 99176.29 46.37 45763.32 5
311307 32.22 99176.67 46.25 45665.36 6
312056 32.30 99175.71 46.23 13372.34 7
312806 32.40 99175.56 46.24 13742.75 8
313556 32.45 99175.39 46.18 14032.01 9
314305 32.48 99176.17 46.14 14324.08 0
314556 32.39 99176.20 46.12 174268.20 1
315805 31.96 99176.34 46.02 182661.44 2
320053 31.84 99177.50 46.16 193353.47 3
320803 32.06 99179.73 46.19 46059.73 4
321553 32.19 99181.03 46.26 45861.70 5
322302 32.24 99179.39 46.21 45763.32 6
322802 32.33 99180.05 46.23 13347.24 7
323552 32.42 99180.70 46.22 13672.29 8
324302 32.47 99180.77 46.18 14022.79 9
325051 32.49 99179.20 46.11 14257.07 0
325301 32.41 99180.16 46.07 173913.05 1
326551 31.97 99176.00 45.92 181882.77 2
330799 31.86 99173.98 46.14 194455.00 3
331549 32.08 99173.24 46.17 46109.51 4
332298 32.20 99171.86 46.25 46109.51 5
333048 32.26 99170.54 46.22 45763.32 6
333548 32.34 99169.22 46.18 13322.23 7
334298 32.44 99169.20 46.12 13672.29 8
335047 32.49 99171.26 46.13 14059.75 9
335797 32.51 99170.52 46.06 14372.33 0
336047 32.43 99171.27 46.05 174803.69 1
337546 32.00 99171.64 45.86 182271.27 2
341545 31.88 99185.58 46.11 193572.78 3
342294 32.10 99185.59 46.18 46109.51 4
343044 32.23 99184.42 46.19 45861.70 5
343794 32.28 99183.68 46.12 45519.20 6
344294 32.36 99182.16 46.14 13247.77 7
345044 32.46 99184.67 46.11 13681.06 8
345793 32.50 99186.79 46.06 14078.31 9
346543 32.53 99189.93 46.02 14295.29 0
346793 32.45 99190.84 46.03 174982.91 1
348292 32.01 99185.71 45.92 181882.77 2
352291 31.90 99175.95 46.14 193134.67 3
353040 32.11 99170.59 46.19 45960.50 4
353790 32.24 99167.45 46.12 45714.29 5
354540 32.29 99166.96 46.09 45519.20 6
355290 32.38 99170.71 46.13 13372.34 7
355789 32.47 99171.27 46.09 13654.79 8
356539 32.52 99172.97 46.07 13986.01 9
357289 32.55 99175.46 46.00 14285.71 0
357539 32.47 99176.59 45.92 173559.33 1
359038 32.02 99175.06 45.87 181110.72 2
363036 31.90 99171.59 46.00 193682.63 3
363786 32.13 99170.10 46.08 45960.50 4
364536 32.25 99166.57 46.10 45714.29 5
365286 32.30 99164.83 46.11 45665.36 6
366035 32.39 99164.45 46.07 13289.04 7
366535 32.48 99167.23 46.04 13663.54 8
367285 32.53 99166.04 46.02 14022.79 9
368035 32.56 99169.36 45.96 14276.15 0
368285 32.48 99170.63 45.96 173736.00 1
369784 32.04 99171.78 45.87 181110.72 2
373782 31.92 99172.43 46.01 194233.69 3
374532 32.13 99168.11 46.11 46059.73 4
375282 32.27 99169.70 46.11 45470.69 5
376032 32.32 99169.84 46.05 45422.29 6
376781 32.41 99168.71 46.07 13264.25 7
377281 32.50 99168.49 46.04 13628.62 8
378031 32.54 99168.47 45.98 13976.85 9
378780 32.57 99168.19 45.95 14247.55 0
379030 32.50 99170.20 45.92 173207.03 1
380530 32.05 99171.95 45.84 180918.73 2
384778 31.93 99175.70 45.98 191940.02 3
385278 32.15 99176.59 46.01 45960.50 4
386027 32.28 99175.62 46.09 45714.29 5
386777 32.32 99176.59 46.02 45567.82 6
387527 32.42 99179.94 46.05 13239.55 7
388276 32.51 99179.16 46.03 13663.54 8
388776 32.55 99179.32 45.98 13976.85 9
389526 32.58 99181.30 45.89 14171.83 0
389776 32.50 99183.13 45.86 173207.03 1
391275 32.06 99181.79 45.73 180727.14 2
395524 31.94 99174.95 45.97 191187.45 3
396023 32.16 99176.13 46.03 45861.70 4
396773 32.29 99176.16 46.04 45616.54 5
397523 32.34 99177.56 46.01 45470.69 6
398273 32.43 99177.03 46.03 13256.01 7
399023 32.52 99177.73 45.97 13602.55 8
399522 32.57 99178.27 45.94 13931.21 9
400272 32.59 99174.94 45.92 14200.13 0
400522 32.52 99175.64 45.90 173207.03 1
402021 32.07 99173.44 45.75 181303.11 2
406269 31.95 99175.28 45.93 192264.36 3
406769 32.16 99175.76 46.00 45812.46 4
407519 32.30 99178.11 46.03 45616.54 5
408269 32.35 99182.58 45.99 45422.29 6
409018 32.44 99188.04 46.01 13206.77 7
409768 32.54 99190.15 45.95 13576.58 8
410268 32.58 99189.16 45.92 13967.70 9
411018 32.61 99188.84 45.88 14115.57 0
411268 32.53 99188.54 45.86 172681.28 1
412767 32.09 99182.42 45.77 181495.92 2
417015 31.96 99169.69 45.89 191832.14 3
417765 32.19 99167.81 46.01 45714.29 4
418265 32.31 99168.68 45.98 45567.82 5
419014 32.36 99168.16 45.96 45422.29 6
419764 32.45 99168.11 45.96 13256.01 7
420514 32.54 99169.65 45.94 13593.88 8
421014 32.59 99170.22 45.87 13903.98 9
421763 32.62 99169.81 45.87 14219.06 0
422013 32.54 99171.74 45.83 172681.28 1
423513 32.09 99169.46 45.76 181689.14 2
427761 31.97 99176.06 45.90 192264.36 3
428511 32.19 99174.41 45.96 45763.32 4
429011 32.32 99173.96 45.95 45519.20 5
429760 32.37 99170.91 45.90 45422.29 6
430510 32.46 99171.35 45.92 13239.55 7
431260 32.56 99172.57 45.91 13593.88 8
432009 32.60 99173.12 45.88 13958.56 9
432509 32.63 99176.05 45.84 14219.06 0
432759 32.55 99178.89 45.83 173031.42 1
434259 32.11 99175.17 45.69 180727.14 2
438507 31.98 99176.73 45.84 191724.39 3
439256 32.20 99176.52 45.84 45763.32 4
439756 32.33 99174.42 45.92 45812.46 5
440506 32.39 99176.50 45.92 45277.68 6
441256 32.47 99174.27 45.89 13157.89 7
442006 32.57 99172.91 45.87 13559.32 8
442755 32.61 99174.46 45.85 13876.84 9
443255 32.64 99174.34 45.80 14134.28 0
443755 32.56 99174.76 45.76 171812.08 1
