=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.22 01:50:13 =~=~=~=~=~=~=~=~=~=~=~=
6066560 32.06 99168.14 38.62 91135.63 6
6067309 32.14 99164.00 38.64 23898.43 7
6068059 32.23 99161.15 38.61 24432.14 8
6068809 32.28 99162.83 38.63 25286.45 9
6069309 32.30 99162.95 38.57 25651.30 0
6069808 32.22 99161.33 38.57 392036.75 1
6071058 31.79 99160.02 38.48 383448.78 2
6300968 29.91 98406.69 27.36 69663568.00 3
6301718 30.11 98406.94 27.36 4120724.25 4
6302467 30.23 98406.47 27.39 4026542.25 5
6302967 30.28 98407.12 27.42 3875118.25 6
6303717 30.35 98409.72 27.41 513540.63 7
6304467 30.43 98410.06 27.41 546424.75 8
6305216 30.48 98412.09 27.40 566371.69 9
6305716 30.50 98415.59 27.39 581818.19 0
6306216 30.42 98417.19 27.47 102400000.00 1
6307466 30.00 98422.30 27.07 97487544.00 2
6311714 29.86 98426.25 27.31 75307096.00 3
6312464 30.07 98426.67 27.41 4374900.00 4
6313213 30.19 98429.52 27.42 4305913.50 5
6313713 30.24 98432.08 27.45 4167896.25 6
6314463 30.31 98436.22 27.46 534446.75 7
6315213 30.39 98435.59 27.44 567784.88 8
6315962 30.44 98438.48 27.45 586819.50 9
6316462 30.45 98440.29 27.42 601291.81 0
6316962 30.36 98438.11 27.30 102400000.00 1
6318211 29.96 98444.84 27.20 102400000.00 2
6322460 29.82 98447.60 27.45 80068416.00 3
6323209 30.03 98447.42 27.43 4630865.00 4
6323959 30.15 98451.64 27.47 4435300.50 5
6324459 30.20 98452.72 27.44 4333245.00 6
6325209 30.27 98452.79 27.47 550833.81 7
6325958 30.35 98455.68 27.45 584808.69 8
6326708 30.39 98457.22 27.47 609342.44 9
6327208 30.41 98461.16 27.45 625534.50 0
6327708 30.33 98459.84 27.37 102400000.00 1
6328957 29.92 98463.98 27.15 102400000.00 2
6333205 29.77 98473.32 27.27 86917768.00 3
6333955 29.98 98475.87 27.43 4883457.50 4
6334455 30.11 98478.68 27.45 4674465.00 5
6335205 30.15 98477.77 27.45 4584219.50 6
6335954 30.22 98479.84 27.48 571109.88 7
6336704 30.31 98475.81 27.46 607715.13 8
6337454 30.35 98478.86 27.44 631903.75 9
6337954 30.37 98481.16 27.43 643822.69 0
6338454 30.29 98480.39 27.45 102400000.00 1
6339703 29.86 98482.02 27.49 102400000.00 2
6343951 29.73 98495.36 27.40 93322888.00 3
6344701 29.95 98497.55 27.46 5069307.00 4
6345201 30.07 98498.35 27.44 4892206.50 5
6345951 30.11 98501.64 27.49 4739369.50 6
6346700 30.18 98502.44 27.47 586819.50 7
6347450 30.26 98503.23 27.47 622681.69 8
6348200 30.31 98504.31 27.47 642006.25 9
6348699 30.33 98505.45 27.44 661926.31 0
6349199 30.25 98504.88 27.73 102400000.00 1
6350449 29.82 98504.20 27.47 102400000.00 2
6354697 29.70 98516.72 27.31 98810400.00 3
6355447 29.91 98517.18 27.45 5331598.00 4
6355947 30.03 98518.91 27.47 5092943.50 5
6356696 30.07 98522.65 27.45 4995122.00 6
6357446 30.14 98522.52 27.49 602884.88 7
6358196 30.23 98526.53 27.50 636617.94 8
