=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.22 00:43:06 =~=~=~=~=~=~=~=~=~=~=~=
2183074 32.59 99189.71 43.34 181882.77 3
2183574 32.82 99189.88 43.29 44661.55 4
2184323 32.95 99192.09 43.39 44521.74 5
2185073 32.99 99189.48 43.42 44290.66 6
2185823 33.08 99180.51 43.38 12764.26 7
2186573 33.16 99188.63 43.36 13174.15 8
2187072 33.21 99191.39 43.33 13482.20 9
2187822 32280035 31.50 98715.52 29.48 1051604.63 3
2280535 31.72 98714.67 29.61 181882.77 4
2281285 31.84 98713.54 29.61 183644.19 5
2282035 31.88 98713.16 29.62 183053.27 6
2282784 31.95 98713.50 29.55 46159.39 7
2283284 32.02 98708.88 29.51 49660.52 8
2284034 32.07 98703.07 29.47 52308.95 9
2284784 32.08 98695.00 29.45 54584.22 0
2285034 32.01 98694.14 29.35 1746695.13 1
2286533 31.55 98686.23 29.28 1540718.50 2
2290781 31.39 98688.01 29.42 1308626.25 3
2291281 31.60 98688.49 29.36 219318.91 4
2292031 31.71 98690.53 29.37 219742.48 5
2292781 31.77 98695.85 29.34 219459.92 6
2293530 31.84 98695.30 29.28 55363.32 7
2294280 31.91 98695.07 29.23 59451.93 8
2294780 31.95 98689.27 29.19 63194.27 9
2295529 31.96 98688.66 29.14 65725.29 0
2295779 31.89 98689.36 29.21 2495278.75 1
2297279 31.45 98687.73 28.97 2173520.75 2
2301527 31.27 98676.73 28.84 1827347.75 3
2302027 31.48 98679.22 28.89 276981.34 4
2302776 31.60 98680.98 28.92 276756.75 5
2303526 31.64 98682.16 28.89 274973.16 6
2304276 31.71 98684.33 28.85 64386.32 7
2305026 31.79 98689.78 28.85 68467.51 8
2305526 31.83 98690.10 28.83 71869.73 9
2306275 31.84 98691.05 28.80 74766.35 0
2306525 31.76 98689.58 28.70 3200625.00 1
2308025 31.34 98693.18 28.71 2721594.75 2
2312273 31.17 98689.38 28.83 2269252.00 3
2313023 31.37 98689.99 29.01 325596.19 4
2313522 31.49 98693.52 29.06 321911.34 5
2314272 31.52 98691.94 29.02 320701.53 6
2315022 31.59 98689.82 29.04 73478.76 7
2315772 31.67 98688.97 29.02 78263.53 8
2316521 31.71 98694.19 29.01 81476.77 9
2317021 31.72 98695.68 28.98 84377.06 0
2317271 31.66 98698.05 28.88 4008808.50 1
2318771 31.22 98692.73 29.00 3453625.75 2
2323019 31.04 98689.77 28.98 2746228.75 3
2323768 31.26 98693.16 28.98 382589.19 4
2324268 31.38 98693.52 28.95 377302.88 5
2325018 31.42 98693.60 28.99 363765.53 6
2325768 31.49 98693.52 28.98 81946.23 7
2326517 31.56 98696.41 28.97 87223.17 8
2327267 31.61 98693.45 28.95 90844.57 9
2327767 31.62 98691.66 28.93 96349.27 0
2328267 31.55 98691.30 28.89 4931968.50 1
2329516 31.11 98686.70 28.84 4203181.00 2
2333765 30.95 98707.48 28.97 3429767.75 3
2334515 31.16 98705.98 28.94 440619.63 4
2335014 31.28 98702.90 28.95 437233.13 5
2335764 31.32 98701.77 28.98 431976.38 6
2336514 31.39 98702.78 29.00 91233.07 7
2337264 31.47 98705.53 29.03 98234.84 8
2338013 31.50 98707.40 29.06 102481.98 9
2338513 31.52 98706.55 29.05 106312.29 0
2339013 31.46 98706.77 29.15 5934082.00 1
2340262 31.02 98698.44 29.12 4986001.00 2
2344510 30.85 98702.13 29.18 4026542.25 3
2345260 31.06 98700.66 29.33 497087.38 4
2346010 31.18 98702.05 29.37 485768.50 5
2346510 31.22 98704.68 29.43 480638.34 6
2347259 31.30 98709.23 29.40 102236.42 7
2348009 31.38 98712.16 29.38 107045.79 8
2348759 31.41 98711.34 29.37 112108.60 9
2349508 31.43 98712.97 29.38 116948.38 0
2349758 31.36 98712.52 29.33 7104943.50 1
2351008 30.92 98711.39 29.28 6020209.50 2
2355256 30.77 98727.29 29.23 4755878.00 3
2356006 30.98 98724.84 29.45 557127.31 4
2356756 31.10 98726.08 29.45 549946.31 5
2357256 31.14 98726.95 29.44 536547.00 6
