=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.22 01:17:56 =~=~=~=~=~=~=~=~=~=~=~=
4150807 28.88 99298.69 28.65 102400000.00 3
4151556 29.11 99299.27 28.91 10832397.00 4
4152056 29.23 99299.05 28.93 10429026.00 5
4152806 29.28 99299.73 28.92 10063882.00 6
4153556 29.35 99300.99 28.93 905793.88 7
4154305 29.43 99298.41 28.93 951894.00 8
4155055 29.47 99297.73 28.93 972228.81 4365723 29.91 99482.89 36.60 2124481.25 3
4366223 30.14 99486.83 36.70 313341.50 4
4366972 30.26 99491.67 36.78 314206.81 5
4367722 30.31 99493.50 36.82 314206.81 6
4368472 30.40 99500.72 36.84 71628.43 7
4369222 30.49 99504.42 36.85 72727.27 8
4369721 30.54 99510.21 36.87 73478.76 9
4370471 30.57 99514.81 36.85 73605.52 0
4370721 30.50 99516.74 36.90 2560800.25 1
4372220 30.09 99519.82 36.72 2103209.25 2
4376469 30.00 99530.86 37.18 1754551.25 3
4376969 30.22 99531.66 37.24 271690.09 4
4377718 30.35 99534.72 37.32 275416.91 5
4378468 30.40 99536.81 37.31 274751.81 6
4379218 30.49 99537.59 37.32 64000.00 7
4379967 30.58 99543.79 37.33 65624.20 8
4380467 30.63 99544.81 37.35 65826.69 9
4381217 30.66 99545.34 37.36 66235.45 0
4381467 30.60 99548.23 37.28 2116249.00 1
4382966 30.18 99549.11 37.40 1769330.50 2
4387215 30.08 99570.20 37.66 1515914.13 3
4387715 30.30 99571.05 37.71 245504.67 4
4388464 30.43 99575.05 37.71 246746.98 5
4389214 30.49 99577.75 37.75 247462.55 6
4389964 30.56 99582.30 37.77 58195.04 7
4390713 30.66 99583.35 37.77 59576.45 8
4391213 30.70 99582.96 37.76 60420.11 9
4391963 30.73 99587.02 37.77 60634.77 0
4392213 30.66 99587.52 37.86 1803213.75 1
4393712 30.26 99591.20 37.77 1526080.50 2
4397960 30.14 99601.24 38.02 1316195.38 3
4398460 30.37 99604.94 38.01 221309.70 4
4399210 30.50 99609.83 38.11 225252.97 5
4399960 30.55 99613.71 38.09 226148.41 6
4400710 30.64 99618.18 38.12 53388.95 7
4401459 30.73 99626.24 38.12 54479.68 8
4401959 30.77 99626.88 38.14 55363.32 9
4402709 30.80 99629.40 38.12 55761.27 0
4402959 30.72 99629.22 38.09 1562762.25 1
4404458 30.32 99633.43 37.99 1320012.88 2
4408706 30.21 99640.91 38.28 1178705.00 3
4409206 30.44 99643.13 38.39 204840.97 4
4409956 30.57 99645.88 38.42 208724.02 5
4410706 30.62 99645.41 38.41 207707.91 6
4411455 30.71 99650.45 38.47 49660.52 7
4412205 30.79 99647.59 38.45 50783.57 8
4412705 30.84 99649.41 38.45 51832.36 9
4413455 30.87 99652.10 38.44 52053.68 0
4413705 30.79 99651.85 38.46 1358090.13 1
4415204 30.38 99648.12 38.33 1178705.00 2
4419452 30.28 99659.34 38.61 1058124.50 3
4419952 30.50 99661.38 38.67 185641.77 4
4420702 30.63 99664.90 38.74 192481.20 5
4421451 30.68 99668.53 38.72 194344.28 6
4422201 30.77 99669.95 38.72 45519.20 7
4422951 30.86 99672.54 38.72 46766.53 8
4423451 30.90 99675.08 38.75 48475.67 9
4424200 30.93 99678.45 38.71 48920.31 0
4424450 30.86 99679.05 38.76 1224148.25 1
4425950 30.44 99681.85 38.61 1071409.88 2
4430198 30.34 99698.16 38.92 979201.50 3
4430698 30.56 99700.27 38.94 175162.50 4
4431447 30.69 99701.67 38.97 178086.95 5
4432197 30.74 99704.59 38.98 179397.34 6
4432947 30.82 99707.77 38.97 43301.76 7
4433697 30.91 99709.65 38.99 44244.73 8
4434197 30.96 99712.34 38.97 44991.21 9
4434946 30.99 99712.13 38.95 45133.99 0
4435196 30.92 99713.21 38.95 1104340.75 1
4436696 30.50 99712.64 38.87 968779.56 2
4440944 30.39 99727.52 39.08 896280.06 3
4441444 30.61 99727.88 39.17 164524.42 4
4442193 30.75 99731.22 39.26 167101.83 5
4442943 30.79 99730.40 39.14 170099.67 6
4443693 30.87 99732.53 39.20 40583.39 7
4444442 30.97 99734.68 39.21 41939.71 8
4444942 31.01 99733.98 39.19 42652.45 9
4445692 31.04 99735.96 39.17 43083.14 0
4445942 30.97 99735.96 39.18 1005153.38 1
4447441 30.56 99737.48 39.03 893932.75 2
4451689 30.45 99745.30 39.31 836943.19 3
4452189 30.67 99747.25 39.38 156383.63 4
4452939 30.79 99747.20 39.41 159601.00 5
4453689 30.84 99749.94 39.39 161412.36 6
4454438 30.93 99751.34 39.39 38988.73 7
4455188 31.02 99753.27 39.38 40050.06 8
4455688 31.07 99754.93 39.38 40622.02 9
4456438 31.09 99758.77 39.35 41250.40 0
4456688 31.02 99759.91 39.32 941392.81 1
4458187 30.61 99767.44 39.25 840032.81 2
4462435 30.50 99760.67 39.43 785878.75 3
4462935 30.71 99760.24 39.55 149401.81 4
4463685 30.84 99762.49 39.54 153018.53 5
4464435 30.89 99761.13 39.54 154823.11 6
4465184 30.98 99761.98 39.56 37613.87 7
4465934 31.07 99764.10 39.56 38254.63 8
4466434 31.12 99763.65 39.56 39024.39 9
4467183 31.14 99767.35 39.54 39421.00 0
4467433 31.07 99766.93 39.50 869454.44 1
4468933 30.66 99769.85 39.41 781828.56 2
4473181 30.55 99765.58 39.59 736161.06 3
4473681 30.76 99765.89 39.70 143256.86 4
4474430 30.89 99766.36 39.74 146453.09 5
4475180 30.95 99768.05 39.71 147592.97 6
4475930 31.03 99769.33 39.75 35934.87 7
4476680 31.12 99771.13 39.73 36898.24 8
4477180 31.16 99774.14 39.68 37547.67 9
4477929 31.19 99773.14 39.67 38049.94 0
4478179 31.13 99774.77 39.61 810607.56 1
4479679 30.70 99775.79 39.57 732213.06 2
4483927 30.60 99783.66 39.73 703538.31 3
4484427 30.81 99784.28 39.80 138042.59 4
4485176 30.94 99785.54 39.84 141241.38 5
4485926 30.99 99788.23 39.85 143136.70 6
4486676 31.07 99789.14 39.84 34707.16 7
4487425 31.16 99792.30 39.85 35516.09 8
4487925 31.20 99792.58 39.86 36363.64 9
