=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.15 01:46:12 =~=~=~=~=~=~=~=~=~=~=~=
2422 25.20 102657.82 45.33 173383.00 1
3921 25.46 102658.21 44.93 181689.14 2
7919 25.71 102661.48 43.57 194012.89 3
8669 25.87 102659.98 43.37 38565.83 4
9419 26.07 102657.80 43.23 39567.23 5
10168 26.16 102658.13 42.98 40738.38 6
10918 26.18 102657.07 42.75 13322.23 7
11418 26.35 1026522964232 29.63 102421.64 32.61 455313.47 9
22964732 29.65 102421.74 32.56 465560.34 0
22965232 29.58 102421.63 32.58 100979968.00 1
22966482 29.18 102422.91 32.36 96411920.00 2
22970730 29.05 102420.48 32.64 89960192.00 3
22971480 29.28 102420.98 32.66 4515987.00 4
22971980 29.39 102420.05 32.65 4417363.00 5
22972730 29.44 102420.61 32.63 4305913.50 6
22973480 29.52 102421.94 32.64 429800.63 7
22974228 29.60 102423.23 32.61 439768.09 8
22974978 29.65 102422.26 32.60 455010.00 9
22975478 29.67 102421.53 32.55 464609.81 0
22975978 29.60 102422.86 32.53 101331272.00 1
22977228 29.19 102420.87 32.52 96518408.00 2
22981476 29.07 102419.00 32.56 90519336.00 3
22982226 29.30 102422.31 32.61 4530973.50 4
22982976 29.41 102420.58 32.62 4449755.50 5
22983476 29.46 102421.51 32.62 4316122.00 6
22984226 29.53 102420.17 32.60 427111.56 7
22984974 29.62 102421.12 32.60 442046.19 8
22985724 29.66 102420.98 32.56 454102.00 9
22986224 29.68 102419.63 32.54 465560.34 0
22986724 29.62 102422.16 32.46 101448920.00 1
22987974 29.21 102420.77 32.47 96625136.00 2
22992222 29.09 102420.07 32.60 90238896.00 3
22992972 29.30 102419.48 32.59 4478950.00 4
22993722 29.42 102419.89 32.62 4410229.00 5
22994222 29.47 102420.75 32.62 4262227.00 6
22994970 29.55 102420.28 32.59 430613.97 7
22995720 29.63 102421.56 32.59 444348.00 8
22996470 29.68 102422.06 32.56 453197.63 9
22997220 29.70 102421.73 32.50 463663.13 0
22997470 29.63 102422.25 32.46 101803496.00 1
22998720 29.21 102419.25 32.44 97378904.00 2
23002968 29.09 102417.88 32.47 90801528.00 3
23003718 29.31 102421.02 32.58 4538504.00 4
23004468 29.43 102419.92 32.61 4399570.50 5
23004968 29.48 102420.90 32.60 4336686.00 6
23005718 29.55 102418.54 32.58 430342.50 7
23006466 29.64 102421.08 32.57 447259.22 8
23007216 29.68 102421.36 32.54 454404.25 9
23007966 29.71 102420.49 32.52 468114.28 0
23008216 29.63 102421.08 32.42 100399848.00 1
23009466 29.23 102421.73 32.34 95777856.00 2
23013714 29.11 102418.91 32.46 90990632.00 3
23014464 29.32 102420.14 32.61 4497392.50 4
23015214 29.44 102420.05 32.56 4453384.00 5
23015712 29.49 102420.05 32.56 4299134.00 6
23016462 29.56 102421.24 32.55 426577.78 7
23017212 29.65 102420.77 32.53 443770.31 8
23017962 29.69 102421.45 32.52 454706.94 9
23018712 29.71 102421.26 32.45 468435.50 0
23018962 29.65 102423.36 32.44 101803496.00 1
23020212 29.23 102420.34 32.43 96732104.00 2
23024460 29.10 102416.98 32.52 89591248.00 3
23025210 29.33 102421.17 32.51 4515987.00 4
23025958 29.45 102419.67 32.53 4417363.00 5
23026458 29.50 102420.37 32.58 4333245.00 6
23027208 29.57 102420.68 32.53 427646.69 7
23027958 29.65 102418.80 32.52 445798.88 8
23028708 29.69 102420.54 32.50 454102.00 9
23029458 29.72 102422.37 32.46 467153.28 0
23029708 29.65 102421.16 32.42 100515336.00 1
23030958 29.24 102419.65 32.29 95882952.00 2
23035206 29.11 102417.11 32.52 90990632.00 3
23035954 29.34 102420.48 32.50 4508530.50 4
23036704 29.46 102420.78 32.55 4424520.50 5
23037204 29.50 102419.54 32.57 4299134.00 6
23037954 29.57 102417.87 32.53 430885.75 7
23038704 29.66 102420.52 32.52 446090.19 8
23039454 29.70 102421.50 32.50 457142.84 9
23040204 29.73 102420.57 32.43 466196.22 0
23040454 29.65 102420.72 32.47 102160560.00 1
23041702 29.25 102422.70 32.22 97162344.00 2
23045952 29.12 102418.38 32.36 90145808.00 3
23046700 29.34 102420.14 32.45 4546060.00 4
23047450 29.46 102419.33 32.43 4446133.00 5
23047950 29.50 102418.95 32.46 4333245.00 6
23048700 29.57 102418.05 32.45 432797.97 7
23049450 29.66 102416.71 32.44 447259.22 8
23050200 29.70 102420.63 32.42 458987.00 9
23050950 29.73 102418.88 32.39 472324.72 0
23051200 29.66 102419.81 32.38 102400000.00 1
23052448 29.25 102421.48 32.25 98034408.00 2
23056696 29.13 102418.41 32.32 92239272.00 3
