=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.24 20:15:09 =~=~=~=~=~=~=~=~=~=~=~=
20910 33.70 98260.53 46.52 409436.22 6
21659 33.78 98261.91 46.49 84544.25 7
22409 33.87 98262.72 46.43 90363.57 8
22909 33.92 98261.45 46.42 95754.63 9
23659 33.94 98262.08 46.37 98803.55 0
23909 33.86 98262.49 46.31 5199619.00 1
25408 33.41 98263.84 46.24 4438905.50 2
29656 33.30 98265.22 46.45 6083921.50 3
30156 33.52 98263.71 46.54 464926.22 4
30906 33.64 98262.95 46.55 436394.63 5
31655 33.70 98265.92 46.49 414658.84 6
32405 33.79 98269.30 46.49 85049.84 7
33155 33.88 98270.35 46.42 89887.64 8
33655 33.92 98270.13 46.38 95061.27 9
34404 33.94 98269.32 46.34 98065.51 0
34654 33.87 98271.36 46.28 5170085.00 1
36154 33.43 98270.66 46.20 4438905.50 2
40402 33.30 98266.55 46.43 6046872.00 3
41152 33.53 98265.66 46.55 462406.88 4
41651 33.65 98265.63 46.52 432797.97 5
42401 33.71 98267.70 46.50 408945.69 6
43151 33.80 98267.93 46.49 83632.80 7
43901 33.89 98268.89 46.46 88858.04 8
44650 33.93 98268.88 46.40 94534.71 9
45150 33.95 98267.74 46.32 97282.92 0
45650 33.87 98267.38 46.29 5045888.50 1
46900 33.43 98269.77 46.23 4357447.00 2
51148 33.30 98270.93 46.41 5882944.50 3
51897 33.53 98271.07 46.50 456836.94 4
52647 33.66 98271.64 46.49 425249.16 5
53147 33.71 98272.30 46.49 401253.91 6
53897 33.80 98274.21 46.49 82821.09 7
54647 33.88 98270.60 46.44 88306.31 8
55396 33.93 98269.76 46.42 91330.72 9
56146 33.95 98269.49 46.36 95167.29 0
56396 33.87 98269.38 46.29 4945366.50 1
57645 33.43 98269.63 46.20 4275574.00 2
61894 33.30 98267.92 46.42 5783268.50 3
62643 33.53 98268.91 46.50 449912.13 4
63393 33.66 98270.66 46.51 418728.28 5
63893 33.71 98276.17 46.48 396822.31 6
64643 33.79 98276.88 46.46 81710.82 7
65392 33.88 98278.45 46.42 86253.37 8
66142 33.93 98280.00 46.38 90555.36 9
66892 33.95 98279.88 46.36 94639.55 0
67142 33.87 98280.45 46.28 4840177.50 1
68391 33.43 98280.44 46.18 4187068.75 2
72639 33.30 98271.95 46.39 5657458.50 3
73389 33.53 98272.49 46.48 444637.44 4
74139 33.65 98271.70 46.49 416175.56 5
74889 33.71 98272.91 46.47 391362.50 6
75389 33.79 98270.96 46.41 80629.92 7
76138 33.89 98270.80 46.42 85647.38 8
76888 33.92 98267.50 46.37 89229.70 9
77638 33.94 98267.55 46.35 91526.63 0
77888 33.87 98270.30 46.25 4735260.00 1
79137 33.43 98270.57 46.18 4099074.25 2
83385 33.30 98278.34 46.42 5622512.00 3
84135 33.52 98277.39 46.46 437513.34 4
84884 33.65 98279.20 46.46 406995.22 5
85634 33.70 98279.25 46.46 387365.25 6
86134 33.79 98282.69 46.40 79651.52 7
86884 33.88 98283.12 46.40 84210.52 8
87633 33.92 98282.52 46.39 87942.29 9
88383 33.94 98283.59 46.30 90077.41 0
88633 33.86 98283.22 46.22 4603540.50 1
90132 33.42 98281.44 46.16 4059464.75 2
94131 33.29 98276.07 46.41 5559552.00 3
94880 33.52 98274.91 46.43 432797.97 4
95630 33.64 98274.52 46.49 400782.78 5
96380 33.70 98277.79 46.43 381733.47 6
97130 33.78 98279.56 46.41 79061.15 7
97630 33.87 98281.17 46.39 83062.95 8
98379 33.91 98283.13 46.29 86779.66 9
