created_at,Gas Resistance (Ohms),Pressure (Pa),Stationary IAQ,Breath VOC Equivalent (ppm),CO2 Equivalent (ppm),Compensated Temperature (°C),Compensated Humidity (Relative %),BSEC Accuracy (%3)
2024-11-27T22:13:42Z,446673.0,101807.14,50.0,0.49,600.0,22.56,45.55,0.0
2024-11-27T22:14:29Z,80553.0,101820.68,50.0,0.49,600.0,22.95,44.76,0.0
2024-11-27T22:15:47Z,94482.0,101831.15,50.0,0.49,600.0,23.35,42.91,0.0
2024-11-27T22:16:34Z,96567.0,101835.0,50.0,0.49,600.0,23.39,43.11,0.0
2024-11-27T22:17:20Z,97896.0,101837.07,50.0,0.49,600.0,23.46,41.85,0.0
2024-11-27T22:18:07Z,98291.0,101839.97,50.0,0.5,601.0,23.58,41.74,1.0
2024-11-27T22:18:54Z,98121.0,101840.4,52.0,0.53,610.0,23.64,41.47,1.0
2024-11-27T22:19:25Z,98518.0,101840.08,51.0,0.52,607.0,23.64,42.43,1.0
2024-11-27T22:20:12Z,96896.0,101839.83,52.0,0.52,609.0,23.66,43.83,1.0
2024-11-27T22:20:59Z,94117.0,101840.38,54.0,0.55,618.0,23.64,44.53,1.0
2024-11-27T22:21:45Z,91428.0,101837.03,62.0,0.65,648.0,23.63,43.36,1.0
2024-11-27T22:22:47Z,89323.0,101839.46,69.0,0.77,695.0,23.67,43.59,1.0
2024-11-27T22:23:34Z,88489.0,101844.01,74.0,0.86,740.0,23.71,43.35,1.0
2024-11-27T22:24:21Z,88765.0,101844.09,74.0,0.87,749.0,23.77,44.26,1.0
2024-11-27T22:25:11Z,87134.0,101845.8,78.0,0.94,780.0,23.78,44.14,1.0
2024-11-27T22:26:13Z,86166.0,101844.64,81.0,1.02,818.0,23.81,43.89,1.0
2024-11-27T22:27:00Z,84628.0,101846.69,86.0,1.15,867.0,23.8,43.05,1.0
2024-11-27T22:28:33Z,82821.0,101849.87,93.0,1.34,935.0,23.84,43.76,1.0
2024-11-27T22:29:20Z,82421.0,101850.07,95.0,1.4,954.0,23.86,44.57,1.0
2024-11-27T22:30:07Z,80859.0,101853.69,98.0,1.5,986.0,23.87,44.08,1.0
2024-11-27T22:30:55Z,80025.0,101857.32,100.0,1.56,1002.0,23.87,45.73,1.0
2024-11-27T22:31:42Z,79281.0,101860.31,103.0,1.67,1032.0,23.88,44.95,1.0
2024-11-27T22:32:44Z,78120.0,101861.91,108.0,1.86,1080.0,23.89,44.39,1.0
2024-11-27T22:33:14Z,78624.0,101862.73,107.0,1.84,1076.0,23.9,43.95,1.0
2024-11-27T22:34:01Z,77622.0,101863.44,112.0,2.05,1124.0,23.95,43.92,1.0
2024-11-27T22:34:47Z,77062.0,101866.13,114.0,2.17,1147.0,23.98,43.77,1.0
2024-11-27T22:35:34Z,76509.0,101867.22,117.0,2.3,1174.0,24.01,43.71,1.0
2024-11-27T22:36:20Z,75694.0,101868.9,119.0,2.43,1197.0,24.02,43.12,1.0
2024-11-27T22:37:07Z,75360.0,101870.28,122.0,2.56,1221.0,24.02,43.25,1.0
2024-11-27T22:37:54Z,75227.0,101871.0,124.0,2.7,1244.0,24.03,43.93,1.0
2024-11-27T22:39:12Z,74181.0,101871.93,128.0,2.98,1288.0,24.0,44.01,1.0
2024-11-27T22:39:27Z,73732.0,101872.49,129.0,3.03,1294.0,24.0,43.37,1.0
2024-11-27T22:40:14Z,73163.0,101871.88,133.0,3.28,1330.0,24.03,44.28,1.0
2024-11-27T22:41:00Z,73226.0,101872.95,133.0,3.31,1334.0,24.02,43.32,1.0
2024-11-27T22:41:47Z,72727.0,101877.3,136.0,3.51,1360.0,24.04,44.05,2.0
2024-11-27T22:42:34Z,72851.0,101878.46,139.0,3.82,1397.0,24.09,42.48,2.0
2024-11-27T22:43:21Z,72295.0,101878.66,139.0,3.77,1391.0,24.08,43.89,2.0
2024-11-27T22:44:07Z,71930.0,101881.84,139.0,3.84,1399.0,24.09,43.91,2.0
2024-11-27T22:44:54Z,70796.0,101885.34,141.0,3.95,1411.0,24.11,44.47,2.0
2024-11-27T22:45:43Z,70503.0,101883.14,142.0,4.04,1422.0,24.09,43.94,2.0
2024-11-27T22:52:28Z,0.0,101873.18,50.0,0.49,600.0,23.73,44.55,0.0
2024-11-27T22:52:57Z,0.0,101878.42,50.0,0.49,600.0,23.77,44.87,0.0
2024-11-27T22:53:13Z,0.0,101876.11,50.0,0.49,600.0,23.78,44.87,0.0
2024-11-27T22:53:43Z,0.0,101877.91,50.0,0.49,600.0,23.81,43.02,0.0
2024-11-27T22:53:58Z,0.0,101876.4,50.0,0.49,600.0,23.84,42.33,0.0
2024-11-27T22:54:28Z,0.0,101882.73,50.0,0.49,600.0,23.9,43.53,0.0
2024-11-27T22:54:58Z,0.0,101881.34,50.0,0.49,600.0,23.9,44.23,0.0
2024-11-27T22:55:13Z,0.0,101883.34,50.0,0.49,600.0,23.93,45.06,0.0
2024-11-27T22:55:43Z,0.0,101885.31,50.0,0.49,600.0,23.95,43.97,0.0
2024-11-27T22:55:58Z,0.0,101885.12,50.0,0.49,600.0,23.94,42.2,0.0
2024-11-27T22:56:28Z,0.0,101884.41,50.0,0.49,600.0,23.95,42.64,0.0
2024-11-27T22:56:43Z,0.0,101885.3,50.0,0.49,600.0,23.97,43.48,0.0
2024-11-27T22:57:13Z,0.0,101888.05,50.0,0.49,600.0,23.97,42.08,1.0
2024-11-27T22:57:43Z,0.0,101888.3,50.0,0.5,600.0,24.01,41.79,1.0
2024-11-27T22:57:59Z,0.0,101889.23,50.0,0.49,600.0,24.02,41.38,1.0
2024-11-27T22:58:29Z,0.0,101890.82,50.0,0.49,600.0,24.04,41.33,1.0
2024-11-27T22:58:59Z,0.0,101888.5,50.0,0.5,600.0,24.0,42.56,1.0
2024-11-27T22:59:14Z,0.0,101888.12,50.0,0.5,601.0,23.99,41.88,1.0
2024-11-27T22:59:44Z,0.0,101889.87,50.0,0.5,600.0,24.01,41.27,1.0
2024-11-27T23:00:14Z,0.0,101891.84,50.0,0.49,600.0,24.02,40.98,1.0
2024-11-27T23:00:44Z,0.0,101892.94,50.0,0.5,603.0,24.02,40.75,1.0
2024-11-27T23:00:59Z,0.0,101894.36,50.0,0.49,600.0,24.01,40.78,1.0
2024-11-27T23:01:14Z,0.0,101892.94,50.0,0.49,600.0,24.0,40.82,1.0
2024-11-27T23:01:44Z,0.0,101895.51,50.0,0.49,600.0,24.0,41.0,1.0
2024-11-27T23:02:14Z,0.0,101893.58,50.0,0.49,600.0,23.96,41.45,1.0
2024-11-27T23:02:29Z,0.0,101891.96,50.0,0.5,601.0,23.96,41.16,1.0
2024-11-27T23:02:44Z,0.0,101893.17,50.0,0.49,600.0,23.95,40.96,1.0
2024-11-27T23:03:14Z,0.0,101894.15,51.0,0.51,604.0,23.97,40.94,1.0
2024-11-27T23:03:29Z,0.0,101894.51,50.0,0.5,602.0,23.97,40.8,1.0
2024-11-27T23:04:00Z,0.0,101895.05,50.0,0.5,600.0,23.99,40.92,1.0
2024-11-27T23:04:30Z,0.0,101893.84,50.0,0.5,601.0,23.98,40.65,1.0
2024-11-27T23:05:00Z,0.0,101895.78,50.0,0.51,603.0,23.98,40.66,1.0
2024-11-27T23:05:15Z,0.0,101897.89,50.0,0.49,600.0,23.95,40.59,1.0
2024-11-27T23:05:30Z,0.0,101895.64,50.0,0.5,602.0,23.95,40.58,1.0
