created_at,Gas Resistance (Ohms),Pressure (Pa),Stationary IAQ,Breath VOC Equivalent (ppm),CO2 Equivalent (ppm),Compensated Temperature (°C),Compensated Humidity (Relative %),BSEC Accuracy (%3)
2024-11-28T11:12:15Z,611525.0,102142.46,50.0,0.49,600.0,19.07,46.35,0.0
2024-11-28T11:12:30Z,244976.0,102145.61,50.0,0.49,600.0,19.27,45.95,0.0
2024-11-28T11:13:00Z,25452.0,102150.61,50.0,0.49,600.0,19.53,45.45,0.0
2024-11-28T11:13:15Z,20506.0,102156.38,50.0,0.49,600.0,19.66,45.33,0.0
2024-11-28T11:13:45Z,21940.0,102155.73,50.0,0.49,600.0,19.85,45.05,0.0
2024-11-28T11:14:15Z,24432.0,102157.04,50.0,0.49,600.0,19.98,44.84,0.0
2024-11-28T11:14:45Z,26186.0,102163.49,50.0,0.49,600.0,20.11,44.49,0.0
2024-11-28T11:15:15Z,28193.0,102159.55,50.0,0.49,600.0,20.22,44.3,0.0
2024-11-28T11:15:46Z,29829.0,102163.4,50.0,0.49,600.0,20.32,43.99,0.0
2024-11-28T11:16:16Z,31550.0,102167.23,50.0,0.49,600.0,20.41,43.76,0.0
2024-11-28T11:16:46Z,33324.0,102170.68,50.0,0.49,600.0,20.5,43.52,0.0
2024-11-28T11:17:16Z,34594.0,102174.23,50.0,0.49,600.0,20.58,43.46,1.0
2024-11-28T11:17:46Z,36117.0,102176.3,50.0,0.49,600.0,20.66,43.38,1.0
2024-11-28T11:18:01Z,36676.0,102179.48,50.0,0.49,600.0,20.7,43.4,1.0
2024-11-28T11:18:31Z,38117.0,102178.23,50.0,0.49,600.0,20.76,43.25,1.0
2024-11-28T11:18:46Z,38811.0,102178.41,50.0,0.49,600.0,20.79,43.17,1.0
2024-11-28T11:19:16Z,40125.0,102172.74,50.0,0.49,600.0,20.86,43.08,1.0
2024-11-28T11:19:46Z,41210.0,102174.48,50.0,0.49,600.0,20.92,43.0,1.0
2024-11-28T11:20:01Z,41571.0,102174.59,50.0,0.49,600.0,20.95,42.89,1.0
2024-11-28T11:20:31Z,42866.0,102173.98,50.0,0.49,600.0,20.98,42.71,1.0
2024-11-28T11:21:01Z,43790.0,102178.55,50.0,0.49,600.0,21.04,42.54,1.0
2024-11-28T11:21:31Z,44849.0,102176.3,50.0,0.49,600.0,21.09,42.3,1.0
2024-11-28T11:22:01Z,45763.0,102178.93,50.0,0.49,600.0,21.13,42.17,1.0
2024-11-28T11:22:16Z,46059.0,102187.54,50.0,0.49,600.0,21.14,42.08,1.0
2024-11-28T11:22:46Z,47716.0,102183.82,50.0,0.49,600.0,21.18,41.91,1.0
2024-11-28T11:23:02Z,47823.0,102180.11,50.0,0.49,600.0,21.2,41.81,1.0
2024-11-28T11:23:32Z,48780.0,102185.27,50.0,0.49,600.0,21.23,41.71,1.0
2024-11-28T11:24:02Z,49373.0,102182.36,50.0,0.49,600.0,21.26,42.35,1.0
2024-11-28T11:24:32Z,50127.0,102185.43,50.0,0.49,600.0,21.3,41.82,1.0
2024-11-28T11:25:02Z,50935.0,102187.09,50.0,0.49,600.0,21.35,41.48,1.0
2024-11-28T11:25:17Z,51426.0,102185.32,50.0,0.49,600.0,21.36,41.45,1.0
2024-11-28T11:25:47Z,52085.0,102185.97,50.0,0.49,600.0,21.4,41.21,1.0
2024-11-28T11:26:17Z,52534.0,102185.93,50.0,0.49,600.0,21.42,41.17,1.0
2024-11-28T11:26:47Z,53123.0,102187.14,50.0,0.49,600.0,21.44,41.16,1.0
2024-11-28T11:27:17Z,54168.0,102185.57,50.0,0.49,600.0,21.46,41.06,1.0
2024-11-28T11:27:47Z,54410.0,102185.24,50.0,0.49,600.0,21.47,40.94,1.0
2024-11-28T11:28:17Z,54619.0,102188.78,50.0,0.49,600.0,21.48,40.9,1.0
2024-11-28T11:28:33Z,55148.0,102184.17,50.0,0.49,600.0,21.48,40.85,1.0
2024-11-28T11:29:03Z,55579.0,102186.65,50.0,0.49,600.0,21.5,40.83,1.0
2024-11-28T11:29:33Z,56017.0,102189.82,50.0,0.49,600.0,21.52,40.79,1.0
2024-11-28T11:30:03Z,56387.0,102189.1,50.0,0.49,600.0,21.53,40.8,1.0
2024-11-28T11:30:33Z,56800.0,102191.88,50.0,0.49,600.0,21.56,40.59,1.0
2024-11-28T11:31:03Z,57142.0,102194.88,50.0,0.49,600.0,21.58,40.5,1.0
2024-11-28T11:31:33Z,57028.0,102195.59,50.0,0.49,600.0,21.6,40.36,1.0
2024-11-28T11:31:48Z,57334.0,102194.02,50.0,0.49,600.0,21.6,40.65,1.0
2024-11-28T11:32:18Z,57761.0,102195.18,50.0,0.49,600.0,21.61,40.56,1.0
2024-11-28T11:32:48Z,58354.0,102196.08,50.0,0.49,600.0,21.63,40.41,1.0
2024-11-28T11:33:03Z,58594.0,102190.99,50.0,0.49,600.0,21.63,40.32,1.0
2024-11-28T11:33:33Z,58959.0,102192.98,50.0,0.49,600.0,21.64,40.16,1.0
2024-11-28T11:33:48Z,59040.0,102188.63,50.0,0.49,600.0,21.65,40.13,1.0
2024-11-28T11:34:18Z,59410.0,102186.85,50.0,0.49,600.0,21.66,40.05,1.0
2024-11-28T11:34:33Z,59576.0,102185.3,50.0,0.49,600.0,21.66,39.96,1.0
2024-11-28T11:35:03Z,59995.0,102183.14,50.0,0.49,600.0,21.67,39.87,1.0
