=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.13 16:07:52 =~=~=~=~=~=~=~=~=~=~=~=
1368385 30.38 102798.01 32.10 375848.78 9
1369135 30.41 102797.93 32.05 384096.03 0
1369385 30.34 102798.31 32.03 73594608.00 1
1370634 29.92 102796.46 31.93 69112576.00 2
1374882 29.71 102795.38 32.11 63212924.00 3
1375632 29.93 102796.99 32.19 3399875.50 4
1376382 30.05 102797.75 32.21 3261460848 29.51 102788.80 32.48 65683788.00 3
1461598 29.72 102788.72 32.57 3488926.75 4
1462347 29.85 102790.41 32.61 3380932.75 5
1463097 29.89 102791.22 32.58 3297243.00 6
1463847 29.96 102792.24 32.58 349965.81 7
1464347 30.04 102791.89 32.59 364153.63 8
1465096 30.08 102790.30 32.60 384096.03 9
1465846 30.09 102792.22 32.57 392487.53 0
1466096 30.03 102793.86 32.56 75829912.00 1
1467595 29.61 102788.60 32.48 71604480.00 2
1471594 29.50 102789.27 32.63 64903192.00 3
1472344 29.71 102789.65 32.69 3475604.50 4
1473093 29.85 102791.54 32.67 3385124.00 5
1473843 29.89 102792.02 32.67 3317270.75 6
1474593 29.97 102791.44 32.64 349249.66 7
1475093 30.06 102792.41 32.63 366106.53 8
1475842 30.11 102792.69 32.60 384528.72 9
1476592 30.13 102793.63 32.56 396361.53 0
1476842 30.07 102795.35 32.51 77033208.00 1
1478341 29.64 102791.45 32.45 71663200.00 2
1482340 29.51 102789.94 33.11 65291160.00 3
1483089 29.73 102790.14 33.23 3511358.75 4
1483839 29.85 102790.63 33.26 3378841.00 5
1484589 29.90 102791.64 33.28 3297243.00 6
1485339 29.99 102792.16 33.27 349965.81 7
1485839 30.07 102792.20 33.26 366499.66 8
1486588 30.11 102792.66 33.22 384745.44 9
1487338 30.13 102793.00 33.15 397284.19 0
1487588 30.06 102794.09 33.14 76226808.00 1
1489087 29.64 102788.63 32.98 71545848.00 2
1493085 29.51 102788.70 32.98 64999752.00 3
1493835 29.73 102789.44 32.99 3488926.75 4
1494585 29.86 102791.71 32.95 3383027.00 5
1495335 29.90 102791.45 32.94 3277455.50 6
1496084 29.97 102792.09 32.91 351045.59 7
1496584 30.05 102792.80 32.87 367288.38 8
1497334 30.09 102792.60 32.84 386926.13 9
1498084 30.12 102793.55 32.80 396361.53 0
1498334 30.05 102793.68 32.75 76627888.00 1
1499833 29.63 102789.46 32.65 72375480.00 2
1503831 29.48 102789.53 32.76 65931588.00 3
1504581 29.69 102788.66 32.81 3506849.25 4
1505331 29.81 102789.75 32.81 3378841.00 5
1506080 29.86 102789.42 32.82 3313245.75 6
1506830 29.94 102791.60 32.82 349965.81 7
1507330 30.01 102792.27 32.83 368876.09 8
1508080 30.05 102792.59 32.77 386706.94 9
1508830 30.07 102792.02 32.74 399375.97 0
1509079 30.00 102793.27 32.70 77033208.00 1
1510579 29.59 102789.09 32.59 72255792.00 2
1514827 29.50 102790.26 32.70 66737272.00 3
1515327 29.73 102787.92 32.70 3524957.00 4
1516077 29.86 102790.37 32.72 3397760.25 5
1516826 29.91 102791.95 32.70 3323326.50 6
1517576 29.98 102791.80 32.69 354325.25 7
1518326 30.05 102791.80 32.67 368080.53 8
1518826 30.10 102792.11 32.67 386706.94 9
1519575 30.12 102791.79 32.62 397515.53 0
1519825 30.04 102792.77 32.60 77237480.00 1
1521325 29.61 102788.48 32.51 72616064.00 2
1525573 29.45 102788.05 32.61 66031236.00 3
1526073 29.66 102787.20 32.69 3511358.75 4
1526822 29.79 102789.95 32.71 3423318.00 5
1527572 29.84 102790.07 32.68 3323326.50 6
1528322 29.92 102791.37 32.66 351407.00 7
1529071 30.00 102792.26 32.65 375848.78 8
1529571 30.04 102791.95 32.60 389575.81 9
1530321 30.07 102791.43 32.61 398211.16 0
1530571 30.00 102793.07 32.57 78486224.00 1
1532070 29.56 102789.84 32.50 73285992.00 2
1536319 29.39 102788.94 32.74 66382376.00 3
1536818 29.61 102788.21 32.80 3522683.25 4
1537568 29.73 102789.03 32.83 3425465.25 5
1538318 29.78 102788.27 32.85 3345721.75 6
1539068 29.86 102789.76 32.83 354693.47 7
