=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.15 03:28:51 =~=~=~=~=~=~=~=~=~=~=~=
28960142 30.00 102382.27 49.72 67406528.00 3
28960892 30.22 102382.62 49.79 3540955.25 4
28961392 30.34 102383.61 49.80 3425465.25 5
28962142 30.39 102381.40 49.76 3337543.25 6
28962892 30.46 102382.13 49.74 352860.09 7
28963642 30.55 102380.65 49.70 368080.53 8
28964392 30.59 102382.70 49.63 329115832 29.96 102399.34 42.47 7959193.50 1
29117080 29.54 102399.63 42.62 7063591.50 2
29121330 29.44 102404.47 43.46 6283413.00 3
29122078 29.66 102405.19 43.66 618170.81 4
29122828 29.79 102409.65 43.78 614830.38 5
29123578 29.84 102410.52 43.82 607715.13 6
29124078 29.92 102408.53 43.92 97896.75 7
29124828 30.01 102410.12 44.01 98348.06 8
29125578 30.05 102411.96 44.05 99494.75 9
29126328 30.08 102411.20 44.07 99785.62 0
29126578 30.00 102411.95 44.10 7022717.50 1
29127828 29.60 102414.78 44.04 6148996.00 2
29132076 29.49 102419.30 44.92 5421575.00 3
29132824 29.72 102421.01 45.05 557127.31 4
29133574 29.85 102424.20 45.13 557127.31 5
29134324 29.89 102424.72 45.19 556219.44 6
29134824 29.98 102425.40 45.30 89887.64 7
29135574 30.07 102427.16 45.34 91526.63 8
29136324 30.11 102427.30 45.38 94587.10 9
29137074 30.15 102430.85 45.41 94430.10 0
29137324 30.08 102431.27 45.42 6290651.00 1
29138572 29.66 102429.88 45.44 5486939.00 2
29142822 29.55 102434.13 46.13 4810334.50 3
29143570 29.78 102436.48 46.27 514314.41 4
29144320 29.91 102438.59 46.33 511616.28 5
29145070 29.96 102441.63 46.43 510087.19 6
29145570 30.04 102441.66 46.45 85304.90 7
29146320 30.13 102440.98 46.48 86956.52 8
29147070 30.17 102441.46 46.49 87761.40 9
29147820 30.20 102443.84 46.49 88765.60 0
29148070 30.13 102445.60 46.49 5651604.00 1
29149568 29.71 102445.95 46.66 4931968.50 2
29153566 29.61 102450.36 47.16 4275574.00 3
29154316 29.83 102449.95 47.28 473635.53 4
29155066 29.96 102453.11 47.31 471672.03 5
29155816 30.01 102455.20 47.39 468435.50 6
29156316 30.09 102455.05 47.40 81166.77 7
29157066 30.18 102455.13 47.41 82821.09 8
29157816 30.22 102456.31 47.43 83224.97 9
29158564 30.25 102456.95 47.44 83879.42 0
29158814 30.18 102458.88 47.60 4986001.00 1
29160314 29.77 102458.22 47.47 4378407.50 2
29164312 29.66 102463.41 48.03 3789084.25 3
29165062 29.88 102464.87 48.10 430342.50 4
29165812 30.02 102467.00 48.17 429530.19 5
29166562 30.06 102466.70 48.19 424720.03 6
29167062 30.14 102468.79 48.23 76715.61 7
29167812 30.22 102470.03 48.23 77622.80 8
29168562 30.28 102470.70 48.25 79207.92 9
29169310 30.30 102471.47 48.23 79503.11 0
29169560 30.23 102473.17 48.21 4460659.00 1
29171060 29.82 102471.97 48.15 3834308.50 2
29175058 29.72 102478.18 48.69 3311236.75 3
29175808 29.93 102477.85 48.82 392939.38 4
29176558 30.06 102477.93 48.85 391362.50 5
29177308 30.11 102479.25 48.95 390467.13 6
29177808 30.19 102482.01 48.88 72051.79 7
29178558 30.28 102481.25 48.91 74310.59 8
29179306 30.33 102483.37 48.87 75360.61 9
29180056 30.35 102483.89 48.89 75829.38 0
29180306 30.29 102487.02 48.87 3947951.75 1
29181806 29.87 102484.73 48.80 3380932.75 2
29185804 29.76 102489.42 49.25 2834602.00 3
29186554 29.98 102488.48 49.36 351407.00 4
29187304 30.10 102488.58 49.43 351407.00 5
29188054 30.15 102490.53 49.44 346414.06 6
29188804 30.23 102490.68 49.42 67922.52 7
29189302 30.32 102494.84 49.44 69983.59 8
29190052 30.37 102493.35 49.42 70679.18 9
29190802 30.40 102494.53 49.41 71869.73 0
29191052 30.32 102495.23 49.34 3497865.00 1
29192552 29.91 102496.16 49.32 2922583.00 2
29196550 29.79 102498.19 49.82 2490726.75 3
29197300 30.02 102498.51 49.87 318903.78 4
29198050 30.15 102499.84 49.96 320100.03 5
29198800 30.19 102499.96 49.90 317126.03 6
29199550 30.27 102499.92 49.91 64240.90 7
29200048 30.36 102502.13 49.90 65573.77 8
29200798 30.41 102504.41 49.88 66753.59 9
29201548 30.43 102502.45 49.85 66649.31 0
29201798 30.37 102505.70 49.79 3088407.25 1
29203298 29.95 102504.17 49.78 2587492.00 2
29207296 29.84 102508.04 50.32 2168343.00 3
29208046 30.06 102508.55 50.29 288939.06 4
29208796 30.18 102507.41 50.36 290414.06 5
29209544 30.23 102508.46 50.34 288694.66 6
29210294 30.31 102509.37 50.30 60505.79 7
29210794 30.40 102511.70 50.26 62181.20 8
29211544 30.44 102511.18 50.26 62961.14 9
29212294 30.47 102510.60 50.22 63334.98 0
29212544 30.40 102512.34 50.19 2671014.00 1
29214044 29.98 102513.11 50.06 2269252.00 2
29218042 29.88 102517.49 50.61 1890607.00 3
29218792 30.09 102515.32 50.63 262295.09 4
29219542 30.21 102515.09 50.67 262295.09 5
29220290 30.26 102514.57 50.67 264121.75 6
29221040 30.34 102515.32 50.62 56499.67 7
29221540 30.44 102518.16 50.60 58394.16 8
29222290 30.48 102517.72 50.56 58959.00 9
29223040 30.51 102519.92 50.55 59204.44 0
29223290 30.43 102519.30 50.50 2417945.75 1
29224790 30.02 102519.54 50.57 2028224.75 2
29228788 29.90 102520.21 50.70 1663688.00 3
29229538 30.12 102521.05 50.87 238305.80 4
29230288 30.25 102522.85 51.01 240997.88 5
29231036 30.30 102522.78 50.87 239644.28 6
29231786 30.38 102522.52 50.90 52892.56 7
29232286 30.47 102524.19 50.87 54759.36 8
29233036 30.52 102526.42 50.84 55907.40 9
29233786 30.54 102524.31 50.81 56313.24 0
29234036 30.48 102527.28 50.76 2136114.75 1
29235536 30.05 102526.05 50.66 1784360.75 2
29239534 29.93 102526.54 51.11 1451967.38 3
29240284 30.15 102526.81 51.18 217502.13 4
29241032 30.28 102528.47 51.19 219742.48 5
29241782 30.33 102528.55 51.20 219742.48 6
29242532 30.41 102528.61 51.15 50186.24 7
29243032 30.50 102531.84 51.11 51612.90 8
29243782 30.54 102530.00 51.05 52437.53 9
29244532 30.57 102531.80 51.04 53156.14 0
29244782 30.51 102533.19 51.00 1919850.00 1
29246282 30.09 102532.50 51.00 1594705.13 2
29250280 29.96 102532.15 51.28 1284012.50 3
29251030 30.18 102530.51 51.36 199105.58 4
29251778 30.31 102532.30 51.40 200863.08 5
29252528 30.36 102531.80 51.34 201099.77 6
29253278 30.45 102533.71 51.36 46209.39 7
29253778 30.53 102535.30 51.30 48393.20 8
29254528 30.57 102536.05 51.26 49718.39 9
29255278 30.61 102535.95 51.19 50039.09 0
29255528 30.53 102535.68 51.23 1696768.88 1
29257028 30.11 102534.30 51.16 1380053.88 2
29261276 29.99 102535.40 51.50 1129931.00 3
29261776 30.21 102534.73 51.52 178459.39 4
29262524 30.34 102536.34 51.55 179964.84 5
29263274 30.39 102536.41 51.57 178833.39 6
29264024 30.47 102535.04 51.53 43745.73 7
29264524 30.56 102537.77 51.49 45133.99 8
29265274 30.61 102538.73 51.43 45960.50 9
29266024 30.64 102542.20 51.37 46460.98 0
29266274 30.55 102538.63 51.36 1528643.38 1
29267772 30.14 102538.86 51.19 1248780.50 2
29272020 30.03 102540.63 51.58 1018652.06 3
29272520 30.25 102539.56 51.67 164842.23 4
29273270 30.37 102539.66 51.72 164842.23 5
29274020 30.41 102538.46 51.67 166125.89 6
29274770 30.50 102539.78 51.63 41612.48 7
29275520 30.59 102541.02 51.64 42695.13 8
29276020 30.64 102541.67 51.56 43567.05 9
29276770 30.66 102541.36 51.51 44153.16 0
29277020 30.59 102542.09 51.48 1370358.00 1
29278518 30.16 102540.09 51.44 1117903.88 2
29282766 30.06 102542.17 51.79 905793.88 3
29283266 30.28 102541.46 51.84 152199.77 4
29284016 30.39 102539.65 51.83 152744.63 5
29284766 30.45 102542.20 51.87 151255.55 6
29285516 30.53 102541.77 51.75 39131.77 7
29286266 30.62 102544.45 51.73 40467.91 8
29286766 30.66 102543.74 51.71 41491.09 9
29287516 30.69 102543.27 51.62 42022.32 0
29287766 30.61 102545.83 51.55 1231879.75 1
29289264 30.19 102543.48 51.53 1008122.06 2
29293512 30.08 102544.20 51.72 822324.81 3
29294012 30.30 102543.56 51.89 141007.98 4
29294762 30.42 102543.35 51.88 142182.73 5
29295512 30.48 102544.07 51.89 141946.22 6
29296262 30.55 102545.37 51.85 37350.45 7
29297012 30.65 102545.87 51.80 38670.70 8
29297512 30.69 102544.55 51.76 39493.98 9
29298260 30.71 102542.84 51.69 40201.00 0
29298510 30.65 102547.45 51.67 1128996.75 1
29300010 30.23 102545.22 51.63 919829.31 2
29304258 30.09 102542.66 51.82 741760.25 3
29304758 30.32 102542.60 51.92 132163.14 4
29305508 30.45 102544.66 51.94 133090.72 5
29306258 30.50 102544.05 51.91 132060.88 6
29307008 30.58 102543.53 51.92 35634.74 7
29307758 30.66 102543.52 51.88 36930.18 8
29308258 30.71 102545.25 51.81 37514.65 9
29309006 30.73 102544.40 51.74 38117.93 0
29309256 30.66 102546.04 51.75 1026309.19 1
