=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.22 02:26:49 =~=~=~=~=~=~=~=~=~=~=~=
8185236 30.00 99615.98 35.20 159900.06 0
8185486 29.93 99619.27 35.20 9495219.00 1
8186736 29.51 99630.17 35.05 7022717.50 2
8190984 29.41 99662.34 35.22 5310859.00 3
8191734 29.63 99668.26 35.28 629572.69 4
8192483 29.76 99674.66 35.24 626683.00 5
8193233 29.82 99679.54 35.25 620982.44 6
8492618 30.95 99810.07 38.65 250734.58 4
8493367 31.08 99807.91 38.67 253716.55 5
8494117 31.13 99807.52 38.72 252777.09 6
8494617 31.21 99803.74 38.70 63760.90 7
8495367 31.30 99804.93 38.68 67599.68 8
8496116 31.36 99803.63 38.63 69926.25 9
8496866 31.38 99803.45 38.63 72112.68 0
8497116 31.32 99803.74 38.53 2147876.25 1
8498366 30.88 99802.15 38.47 1745578.50 2
8502614 30.78 99802.09 38.56 1574476.25 3
8503364 30.99 99800.96 38.64 247283.27 4
8504113 31.13 99801.24 38.76 248362.84 5
8504863 31.18 99801.72 38.68 248182.27 6
8505363 31.26 99801.25 38.68 62683.64 7
8506112 31.35 99801.51 38.65 66805.84 8
8506862 31.40 99800.65 38.64 69301.57 9
8507612 31.43 99801.30 38.63 71091.37 0
8507862 31.36 99800.80 38.58 2088730.25 1
8509111 30.92 99796.95 38.48 1700996.63 2
8513359 30.82 99785.95 38.78 1545952.13 3
8514109 31.04 99784.31 38.67 243057.20 4
8514859 31.17 99786.30 38.66 245504.67 5
8515609 31.21 99784.31 38.73 244976.08 6
8516108 31.30 99785.73 38.67 62181.20 7
8516858 31.39 99785.01 38.66 65775.95 8
8517608 31.44 99781.45 38.63 68193.93 9
8518357 31.47 99778.55 38.63 69811.84 0
8518607 31.39 99778.30 38.57 2041874.38 1
8520107 30.96 99769.13 38.48 1675941.13 2
8524105 30.85 99761.86 38.63 1519287.88 3
8524855 31.07 99760.07 38.67 239476.14 4
8525605 31.21 99762.41 38.71 241509.44 5
8526354 31.26 99761.13 38.67 241168.16 6
8526854 31.34 99757.66 38.65 60981.42 7
8527604 31.43 99756.56 38.66 64728.19 8
8528353 31.47 99757.47 38.62 67546.17 9
8529103 31.50 99754.95 38.61 69133.13 0
8529353 31.43 99755.20 38.63 1995615.13 1
8530852 31.00 99752.23 38.50 1632848.38 2
8534851 30.90 99753.05 38.47 1469153.50 3
8535600 31.11 99755.08 38.65 235510.58 4
8536350 31.24 99758.70 38.70 237807.70 5
8537100 31.29 99755.60 38.66 236982.19 6
8537600 31.37 99755.62 38.64 60079.79 7
8538349 31.46 99753.66 38.64 63808.57 8
8539099 31.51 99752.31 38.63 65523.42 9
8539849 31.53 99750.98 38.60 67814.57 0
8540099 31.46 99750.46 38.58 1958403.00 1
8541598 31.03 99740.59 38.48 1599375.25 2
8545596 30.91 99733.70 38.54 1441238.63 3
8546346 31.14 99732.39 38.68 233098.11 4
8547096 31.27 99733.98 38.70 233576.64 5
