=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.22 04:03:54 =~=~=~=~=~=~=~=~=~=~=~=
2420 30.83 99135.91 36.31 1350033.00 1
3919 30.97 99116.25 35.37 1290078.75 2
7918 30.98 99062.61 32.92 1213270.13 3
8667 31.12 99051.06 32.63 202772.28 4
9417 31.30 99043.92 32.37 212492.22 5
10167 31.36 99031.27 32.03 217225.28 6
10917 31.35 99019.80 31.78 64434.94 7
11416 31.48 99010.3973624 29.50 99579.80 34.44 4333245.00 3
3974374 29.72 99581.53 34.49 537391.75 4
3975124 29.85 99584.09 34.58 527020.06 5
3975873 29.89 99586.35 34.58 520589.72 6
3976623 29.98 99589.10 34.59 110798.53 7
3977123 30.06 99591.28 34.60 116628.70 8
3977873 30.11 99590.88 34.63 120329.02 9
3978623 30.14 99592.65 34.64 121615.20 0
3978872 30.07 99593.95 34.67 7179667.00 1
3980372 29.64 99596.48 34.53 5140885.00 2
3984370 29.54 99607.74 34.86 3936569.00 3
3985120 29.75 99609.20 34.97 501469.16 4
3985870 29.88 99612.26 35.07 496725.69 5
3986620 29.92 99614.01 35.04 488899.50 6
3987369 30.01 99616.90 35.06 104810.65 7
3987869 30.09 99618.24 35.10 110798.53 8
3988619 30.14 99621.83 35.11 113904.34 9
3989369 30.16 99624.34 35.09 116073.45 0
3989619 30.09 99625.00 35.13 6484860.50 1
3991118 29.67 99628.34 35.02 4646625.00 2
3995116 29.57 99643.26 35.35 3644938.75 3
3995866 29.78 99639.23 35.41 469079.25 4
3996616 29.90 99639.84 35.44 464609.81 5
3997365 29.96 99641.84 35.46 460224.72 6
3998115 30.03 99639.61 35.47 101205.77 7
3998615 30.13 99640.94 35.51 105719.59 8
3999365 30.17 99640.83 35.55 108889.84 9
4000114 30.19 99639.96 35.51 110654.85 0
4000364 30.13 99642.40 35.48 5826458.00 1
4001864 29.70 99641.58 35.43 4319536.00 2
4005862 29.59 99650.70 35.73 3356001.75 3
4006612 29.80 99649.20 35.82 441474.47 4
4007361 29.93 99652.05 35.90 440335.41 5
4008111 29.99 99655.29 35.91 435004.25 6
4008861 30.06 99656.66 35.92 95916.07 7
4009360 30.15 99656.79 35.94 100846.95 8
4010110 30.19 99658.34 35.93 103853.95 9
4010860 30.21 99658.60 35.94 105916.42 0
4011110 30.14 99659.91 35.96 5405476.50 1
4012609 29.71 99665.45 35.83 3973805.50 2
4016608 29.61 99670.91 36.15 3148952.50 3
4017357 29.82 99670.91 36.23 421312.50 4
4018107 29.95 99670.62 36.23 418985.28 5
4018857 30.01 99671.68 36.32 410174.25 6
4019606 30.08 99671.95 36.32 90844.57 7
4020106 30.16 99670.56 36.32 97449.56 8
4020856 30.21 99672.74 36.34 99843.99 9
4021606 30.24 99671.69 36.37 101931.12 0
4021856 30.17 99672.55 36.33 5018070.50 1
4023355 29.75 99675.52 36.30 3706787.25 2
4027354 29.63 99678.55 36.55 2897771.50 3
4028103 29.85 99678.39 36.62 403387.81 4
4028853 29.98 99679.34 36.71 398909.22 5
4029603 30.02 99678.60 36.66 392487.53 6
4030353 30.11 99683.18 36.69 87761.40 7
4030852 30.19 99683.16 36.73 91822.09 8
4031602 30.23 99683.06 36.73 96349.27 9
4032352 30.26 99683.80 36.76 98121.88 0
4032602 30.19 99683.79 36.68 4686499.00 1
4034101 29.76 99685.61 36.70 3475604.50 2
4038100 29.65 99689.22 36.93 2718884.75 3
4038849 29.86 99686.89 37.06 388025.78 4
4039599 30.00 99688.34 36.99 384312.25 5
4040349 30.04 99689.09 37.13 376886.28 6
4041098 30.12 99690.63 37.10 84544.25 7
4041598 30.21 99693.80 37.13 88765.60 8
4042348 30.25 99694.12 37.12 92119.47 9
4043098 30.28 99695.60 37.14 95167.29 0
4043348 30.21 99696.02 37.12 4417363.00 1
4044847 29.78 99697.05 37.02 3257904.25 2
4048845 29.66 99698.22 37.41 2587492.00 3
4049595 29.89 99701.34 37.37 364542.53 4
4050345 30.02 99697.84 37.46 362221.44 5
4051094 30.06 99697.88 37.52 355432.16 6
4051844 30.14 99698.01 37.47 81399.05 7
4052344 30.23 99702.13 37.47 85390.26 8
4053094 30.27 99701.57 37.48 88581.31 9
4053843 30.30 99701.95 37.48 90555.36 0
4054093 30.23 99700.78 37.52 4114515.25 1
4055593 29.80 99700.83 37.45 3084918.00 2
4059591 29.70 99700.85 37.65 2461538.50 3
4060341 29.91 99702.17 37.72 350325.00 4
4061090 30.04 99703.05 37.83 348180.91 5
4061840 30.08 99701.64 37.85 342589.50 6
4062590 30.16 99702.37 37.85 78987.97 7
4063090 30.25 99704.83 37.87 83062.95 8
4063839 30.29 99706.03 37.85 85819.65 9
4064589 30.32 99706.91 37.85 87851.75 0
4064839 30.24 99706.23 37.85 3925251.50 1
4066339 29.83 99710.21 37.79 2876404.50 2
4070337 29.70 99715.63 38.07 2341240.25 3
4071087 29.93 99716.04 38.10 338848.44 4
4071836 30.05 99716.28 38.23 335847.81 5
4072586 30.10 99716.55 38.20 330003.22 6
4073336 30.18 99714.07 38.22 76440.73 7
4073836 30.27 99716.32 38.21 80706.18 8
4074585 30.32 99717.03 38.20 83062.95 9
4075335 30.34 99716.63 38.19 84712.11 0
4075585 30.27 99716.70 38.23 3674366.50 1
4077084 29.84 99720.70 38.13 2727030.75 2
4081083 29.73 99723.59 38.35 2235807.75 3
4081832 29.95 99724.29 38.37 327784.91 4
4082582 30.07 99724.41 38.46 323130.31 5
4083332 30.12 99723.30 38.50 319202.00 6
4084082 30.20 99720.83 38.52 74635.57 7
4084581 30.29 99720.39 38.53 78479.46 8
4085331 30.33 99721.63 38.52 80553.80 9
4086081 30.36 99720.61 38.52 82580.65 0
4086331 30.29 99719.41 38.52 3497865.00 1
4087830 29.87 99719.51 38.44 2594868.50 2
4091828 29.74 99716.37 38.71 2124481.25 3
4092578 29.96 99714.45 38.79 316831.69 4
4093328 30.09 99709.32 38.78 314786.34 5
4094078 30.14 99711.18 38.89 307969.94 6
4094827 30.22 99712.48 38.87 72295.96 7
4095327 30.31 99712.81 38.87 76167.80 8
4096077 30.35 99714.65 38.87 78769.23 9
4096827 30.38 99714.36 38.82 80100.13 0
4097077 30.30 99713.43 38.82 3325350.00 1
4098576 29.89 99718.02 38.73 2488456.75 2
4102574 29.77 99720.70 39.00 2058808.75 3
4103324 29.98 99718.95 39.12 305216.09 4
4104074 30.11 99716.62 39.08 303587.31 5
4104823 30.16 99714.11 39.10 297501.44 6
4105573 30.24 99713.03 39.13 70679.18 7
4106073 30.33 99713.06 39.17 74700.91 8
4106823 30.37 99713.39 39.13 76992.48 9
4107572 30.39 99712.55 39.13 78120.23 0
4107822 30.32 99713.44 39.14 3176425.00 1
4109322 29.90 99714.13 39.09 2384167.75 2
4113320 29.78 99715.40 39.32 1966866.75 3
4114070 30.00 99716.15 39.35 296983.75 4
4114820 30.13 99711.95 39.42 295697.38 5
4115569 30.18 99712.45 39.39 290661.38 6
4116319 30.25 99714.27 39.42 69077.17 7
4116819 30.34 99714.91 39.45 72665.34 8
4117569 30.38 99717.44 39.44 74635.57 9
4118318 30.41 99719.54 39.42 76167.80 0
4118568 30.35 99720.91 39.41 3057286.75 1
4120068 29.93 99725.24 39.33 2288268.25 2
4124066 29.80 99721.05 39.54 1905116.25 3
4124816 30.02 99716.72 39.68 288939.06 4
4125565 30.14 99712.75 39.66 288450.72 5
4126315 30.20 99712.01 39.72 282951.09 6
4127065 30.27 99712.55 39.70 67226.89 7
4127565 30.36 99713.63 39.72 70562.30 8
4128314 30.41 99715.10 39.71 72295.96 9
4129064 30.43 99714.91 39.70 74245.94 0
4129314 30.37 99715.65 39.71 2843457.25 1
4130813 29.94 99715.50 39.60 2178723.50 2
4134812 29.82 99718.51 39.87 1837183.25 3
4135561 30.03 99719.16 39.92 281550.72 4
4136311 30.16 99716.50 39.97 279247.34 5
4137061 30.21 99715.56 39.94 274310.22 6
4137811 30.29 99715.17 39.98 65422.95 7
4138311 30.38 99714.04 39.99 69021.30 8
4139060 30.43 99713.98 39.96 71150.64 9
4139810 30.45 99715.30 39.94 72480.18 0
4140060 30.39 99716.62 39.97 2740716.00 1
4141559 29.96 99715.09 39.87 2096749.38 2
