=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.24 21:21:12 =~=~=~=~=~=~=~=~=~=~=~=
3965876 31.07 98087.28 39.26 2499847.50 2
3969874 30.95 98089.60 39.35 1966866.75 3
3970624 31.16 98084.69 39.45 215578.95 4
3971374 31.30 98085.93 39.44 206576.56 5
3972124 31.34 98084.95 39.45 200156.38 6
3972873 31.43 98084.14 39.45 43126.68 7
3973373 31.50 98080.98 39.40 44802.24 8
39743981370 31.14 98086.32 39.40 216124.95 4
3982120 31.27 98083.81 39.43 206826.91 5
3982870 31.32 98084.80 39.41 198757.77 6
3983619 31.40 98086.49 39.41 43170.32 7
3984119 31.49 98085.26 39.39 44896.53 8
3984869 31.53 98085.59 39.42 46613.25 9
3985619 31.55 98085.74 39.37 48724.78 0
3985868 31.48 98088.52 39.35 1608798.13 1
3987368 31.04 98087.91 39.26 2470446.25 2
3991366 30.92 98084.35 39.36 1962625.75 3
3992116 31.14 98079.68 39.39 215851.61 4
3992866 31.27 98077.24 39.41 207329.42 5
3993615 31.32 98081.41 39.41 199804.88 6
3994365 31.40 98079.40 39.45 42996.30 7
3994865 31.49 98080.43 39.40 44849.34 8
3995614 31.53 98079.48 39.40 46562.39 9
3996364 31.55 98079.45 39.36 48836.32 0
3996614 31.48 98079.74 39.36 1616416.75 1
3998113 31.05 98083.96 39.22 2468213.25 2
4002362 30.92 98079.52 39.36 1971126.13 3
4002861 31.14 98075.81 39.37 215715.19 4
4003611 31.27 98076.00 39.41 206701.66 5
4004361 31.32 98080.41 39.41 200273.81 6
4005111 31.40 98079.40 39.42 42953.02 7
4005860 31.48 98078.83 39.40 44943.82 8
4006360 31.54 98079.67 39.38 46715.33 9
4007110 31.56 98080.25 39.34 48696.98 0
4007360 31.48 98081.38 39.31 1619292.38 1
4008859 31.04 98084.88 39.22 2483929.75 2
4013107 30.92 98084.13 39.32 1968284.50 3
4013607 31.14 98082.89 39.35 215306.98 4
4014357 31.27 98081.31 39.40 206326.81 5
4015107 31.32 98081.49 39.37 200863.08 6
4015856 31.40 98082.04 39.36 43170.32 7
4016606 31.49 98082.59 39.37 45038.71 8
4017106 31.53 98081.38 39.37 46511.63 9
4017855 31.55 98079.38 39.30 48808.39 0
4018105 31.48 98080.30 39.30 1618332.63 1
4019605 31.05 98080.99 39.20 2481672.25 2
4023853 30.92 98084.40 39.34 1971126.13 3
4024353 31.14 98082.21 39.36 216124.95 4
4025103 31.27 98081.98 39.40 207707.91 5
4025852 31.32 98083.57 39.34 200626.95 6
4026602 31.41 98084.56 39.40 43039.68 7
4027352 31.48 98083.25 39.42 45181.79 8
4027851 31.53 98083.98 39.33 46460.98 9
4028601 31.55 98084.20 39.32 48724.78 0
4028851 31.48 98086.55 39.28 1607850.88 1
4030351 31.04 98089.67 39.25 2474924.50 2
4034599 30.92 98088.96 39.28 1962625.75 3
4035349 31.14 98085.56 39.37 216124.95 4
4035848 31.27 98084.73 39.37 207707.91 5
4036598 31.32 98085.61 39.37 199105.58 6
4037348 31.40 98086.60 39.39 43039.68 7
4038098 31.48 98088.62 39.34 45038.71 8
4038597 31.53 98089.05 39.34 46511.63 9
4039347 31.55 98089.63 39.29 48696.98 0
4039597 31.48 98093.11 39.24 1628952.13 1
4041096 31.04 98094.25 39.19 2470446.25 2
4045345 30.92 98097.50 39.28 1973975.88 3
4046094 31.14 98084.48 39.31 215715.19 4
4046594 31.27 98074.74 39.37 207455.42 5
4047344 31.32 98062.78 39.36 200744.95 6
4048094 31.40 98057.34 39.35 42823.69 7
4048843 31.49 98067.84 39.34 45277.68 8
4049593 31.53 98081.94 39.31 46360.02 9
4050093 31.55 98079.07 39.29 48920.31 0
4050343 31.48 98079.20 39.25 1605015.63 1
4051842 31.04 98087.64 39.16 2477169.75 2
4056090 30.91 98100.38 39.28 1966866.75 3
4056840 31.14 98092.27 39.32 216536.27 4
4057340 31.27 98084.45 39.36 207961.00 5
4058090 31.32 98068.71 39.36 200391.39 6
4058839 31.39 98076.99 39.32 42953.02 7
4059589 31.48 98081.77 39.31 44849.34 8
4060339 31.53 98077.68 39.30 46511.63 9
4060839 31.55 98080.27 39.24 48752.62 0
4061338 31.48 98079.44 39.26 1616416.75 1
4062588 31.04 98085.27 39.16 2477169.75 2
4066836 30.91 98083.04 39.24 1971126.13 3
4067586 31.13 98082.97 39.32 215578.95 4
4068086 31.27 98085.04 39.32 207581.59 5
4068836 31.31 98086.13 39.34 200509.11 6
4069585 31.39 98088.38 39.33 43214.04 7
4070335 31.48 98088.74 39.27 44943.82 8
4071085 31.52 98084.41 39.29 46460.98 9
4071585 31.55 98080.47 39.29 48669.20 0
4072085 31.48 98080.91 39.22 1610696.00 1
4073334 31.04 98093.22 39.14 2470446.25 2
4077582 30.91 98101.60 39.21 1968284.50 3
4078332 31.13 98084.12 39.29 216536.27 4
